law,retained_pore_fraction,eps_s,K_hydraulic_rel,K_ionic_rel,connected_active_frac,overlap_deposit_current
uniform,0.0,0.0,1.0,1.0,1.0,
uniform,0.03333333333333333,0.028333333333333335,0.9139482008121348,0.944851635665695,1.0,
uniform,0.06666666666666667,0.05666666666666667,0.8323949462957541,0.8886832324107328,1.0,
uniform,0.1,0.08500000000000002,0.7554760166737925,0.8321064571786516,1.0,1.8487593785303897e-16
uniform,0.13333333333333333,0.11333333333333334,0.6832409604977017,0.7761593003500421,1.0,
uniform,0.16666666666666666,0.14166666666666666,0.6156590460653404,0.7209316629017742,1.0,-1.8487593785303897e-16
uniform,0.2,0.17000000000000004,0.5526999498572647,0.6668800743029384,1.0,1.8487593785303897e-16
uniform,0.23333333333333334,0.19833333333333336,0.494276883698265,0.6145100978572056,1.0,1.8487593785303897e-16
uniform,0.26666666666666666,0.22666666666666668,0.44024098949171003,0.5643181049096202,1.0,
uniform,0.3,0.255,0.3904023746588837,0.516422698159664,1.0,1.8487593785303897e-16
uniform,0.3333333333333333,0.2833333333333333,0.34463254814201427,0.47071152728042726,1.0,-1.8487593785303897e-16
uniform,0.36666666666666664,0.3116666666666667,0.30274803896686997,0.42738753012452707,1.0,-6.199432646568973e-17
uniform,0.4,0.3400000000000001,0.2646017917047053,0.3862495690660942,0.9998524420835178,1.8487593785303897e-16
uniform,0.43333333333333335,0.3683333333333334,0.2300194303239668,0.34760750304157984,0.999845009299442,1.8487593785303897e-16
uniform,0.4666666666666667,0.3966666666666667,0.1987822886725333,0.31178631213848446,0.9998382923673997,1.8487593785303897e-16
uniform,0.5,0.42500000000000004,0.1705708745227025,0.27899164755358863,0.9996618765849535,1.8487593785303897e-16
surface_area,0.0,0.0,1.0,1.0,1.0,
surface_area,0.03333333333333333,0.028333333333333335,0.9209028679774689,0.9562289518423988,1.0,0.5426473315101386
surface_area,0.06666666666666667,0.05666666666666667,0.8450144833214122,0.9122551153736402,1.0,0.5426473315101386
surface_area,0.1,0.08500000000000002,0.7723477781201666,0.8680488998718742,1.0,0.542647331510138
surface_area,0.13333333333333333,0.11333333333333334,0.702918037423118,0.823575458579691,1.0,0.5426473315101386
surface_area,0.16666666666666666,0.14166666666666666,0.6367434770391325,0.7787938602752916,1.0,0.5426473315101386
surface_area,0.2,0.17000000000000004,0.5738459394371999,0.7336554054057597,1.0,0.542647331510138
surface_area,0.23333333333333334,0.19833333333333336,0.5142513815391652,0.68813728405109,1.0,0.5426473315101382
surface_area,0.26666666666666666,0.22666666666666668,0.45798985963371164,0.6422911182236869,1.0,0.5426473315101386
surface_area,0.3,0.255,0.4050933338316128,0.5961848104683718,1.0,0.5426473315101382
surface_area,0.3333333333333333,0.2833333333333333,0.3555897510107792,0.5500900809114062,1.0,0.5426473315101386
surface_area,0.36666666666666664,0.3116666666666667,0.30950681020553455,0.5039347542897178,1.0,0.5426473315101382
surface_area,0.4,0.3400000000000001,0.2668730245155287,0.45800568591823637,1.0,0.542647331510138
surface_area,0.43333333333333335,0.3683333333333334,0.22770516262222754,0.4126470583418416,1.0,0.5426473315101386
surface_area,0.4666666666666667,0.3966666666666667,0.19199842329525918,0.3683549422618393,1.0,0.5426473315101382
surface_area,0.5,0.42500000000000004,0.15972418243761266,0.32534950167393684,1.0,0.5426473315101379
small_throat,0.0,0.0,1.0,1.0,1.0,
small_throat,0.03333333333333333,0.028333333333333335,0.9280637677935687,0.9301960000952431,1.0,-0.34797716455811917
small_throat,0.06666666666666667,0.05666666666666667,0.8662667507669464,0.8718751736863596,1.0,-0.34797716455811917
small_throat,0.1,0.08500000000000002,0.8113596675150694,0.820119473967726,1.0,-0.34797716455811933
small_throat,0.13333333333333333,0.11333333333333334,0.7618220967067113,0.7737117198289784,1.0,-0.34797716455811917
small_throat,0.16666666666666666,0.14166666666666666,0.716588451421319,0.732011427453462,1.0,-0.3479771645581195
small_throat,0.2,0.17000000000000004,0.6748804808722589,0.6937806674088791,1.0,-0.34797716455811933
small_throat,0.23333333333333334,0.19833333333333336,0.6363025540174999,0.6582745846627631,1.0,-0.3479771645581193
small_throat,0.26666666666666666,0.22666666666666668,0.600439859372511,0.6257787797154329,1.0,-0.34797716455811917
small_throat,0.3,0.255,0.5669808622719054,0.5950899290315208,1.0,-0.3479771645581193
small_throat,0.3333333333333333,0.2833333333333333,0.5357157858232511,0.5662496306803222,0.9998554495518936,-0.3479771645581195
small_throat,0.36666666666666664,0.3116666666666667,0.5064609854411832,0.5391388629613896,0.9998516320474777,-0.3479771645581193
small_throat,0.4,0.3400000000000001,0.47903209839066757,0.513728543706641,0.999847607436757,-0.34797716455811933
small_throat,0.43333333333333335,0.3683333333333334,0.45329392159040677,0.48961255911661955,0.9998440667394355,-0.3479771645581192
small_throat,0.4666666666666667,0.3966666666666667,0.4291046592192766,0.46679558277130145,0.9998404340194671,-0.3479771645581193
small_throat,0.5,0.42500000000000004,0.40624662763698294,0.44618857922028426,0.9998373983739838,-0.3479771645581192
current_path,0.0,0.0,1.0,1.0,1.0,
current_path,0.03333333333333333,0.028333333333333335,0.8369002293101002,0.9265737986339694,1.0,1.0
current_path,0.06666666666666667,0.05666666666666667,0.6874176407535203,0.8521183219615193,1.0,1.0
current_path,0.1,0.08500000000000002,0.5526660430962301,0.7763349511955395,1.0,1.0
current_path,0.13333333333333333,0.11333333333333334,0.4349957475713801,0.698713770099207,1.0,1.0
current_path,0.16666666666666666,0.14166666666666666,0.3368375136135457,0.6200782554339473,1.0,0.9999999999999999
current_path,0.2,0.17000000000000004,0.25728648496416684,0.541501259372867,1.0,1.0
current_path,0.23333333333333334,0.19833333333333336,0.19557491018040957,0.4648111866799728,1.0,0.9999999999999997
current_path,0.26666666666666666,0.22666666666666668,0.14888356805100808,0.3954219511818141,1.0,1.0
current_path,0.3,0.255,0.11364421425934708,0.334127706849438,1.0,1.0
current_path,0.3333333333333333,0.2833333333333333,0.08740100739213916,0.2801273768958159,1.0,0.9999999999999999
current_path,0.36666666666666664,0.3116666666666667,0.06796114073584132,0.23469786400695655,1.0,1.0
current_path,0.4,0.3400000000000001,0.05331808538092263,0.19774863163450251,1.0,1.0
current_path,0.43333333333333335,0.3683333333333334,0.04203903849743496,0.1672521331840058,1.0,0.9999999999999999
current_path,0.4666666666666667,0.3966666666666667,0.03330929471378865,0.14132482369463786,1.0,0.9999999999999997
current_path,0.5,0.42500000000000004,0.026533245561757835,0.11923851229681519,1.0,0.9999999999999996
collector_biased,0.0,0.0,1.0,1.0,1.0,
collector_biased,0.03333333333333333,0.028333333333333335,0.9141543610097994,0.9446773949054965,1.0,-0.0351019983459221
collector_biased,0.06666666666666667,0.05666666666666667,0.8271965476902103,0.8841206331548729,1.0,-0.0351019983459221
collector_biased,0.1,0.08500000000000002,0.7400386164822234,0.818602768267154,1.0,-0.03510199834592199
collector_biased,0.13333333333333333,0.11333333333333334,0.6538030250002975,0.7495523670167953,1.0,-0.0351019983459221
collector_biased,0.16666666666666666,0.14166666666666666,0.5695656321296924,0.6783383539788435,0.9998839772595429,-0.035101998345922085
collector_biased,0.2,0.17000000000000004,0.4883484528023622,0.6065529148531643,0.9995225590833134,-0.03510199834592199
collector_biased,0.23333333333333334,0.19833333333333336,0.41082635506677945,0.5365038988759151,0.9985268843604223,-0.035101998345922016
collector_biased,0.26666666666666666,0.22666666666666668,0.3378948402792892,0.46741879883645887,0.997846192829089,-0.0351019983459221
collector_biased,0.3,0.255,0.2707542016445448,0.4002291651105823,0.9970052083333333,-0.035101998345922175
collector_biased,0.3333333333333333,0.2833333333333333,0.2107665654109028,0.3357851249993176,0.9959682838328182,-0.035101998345922085
collector_biased,0.36666666666666664,0.3116666666666667,0.15946097548802285,0.27538307358403796,0.9944674965421854,-0.03510199834592215
collector_biased,0.4,0.3400000000000001,0.1171225099834729,0.22134583465879584,0.9907696677080375,-0.03510199834592199
collector_biased,0.43333333333333335,0.3683333333333334,0.08294079490436698,0.17319955357767244,0.9890972525076319,-0.035101998345922036
collector_biased,0.4666666666666667,0.3966666666666667,0.05642824160745683,0.13553348012391064,0.9836187639612807,-0.035101998345922016
collector_biased,0.5,0.42500000000000004,0.036000807124467814,0.1022379528359464,0.9777235276167227,-0.03510199834592201
strong_site,0.0,0.0,1.0,1.0,1.0,
strong_site,0.03333333333333333,0.028333333333333335,0.9141395366159986,0.944449414201108,1.0,0.0011349392954018583
strong_site,0.06666666666666667,0.05666666666666667,0.8348843381643725,0.8887352053075869,1.0,0.007988223807429763
strong_site,0.1,0.08500000000000002,0.7557215296501382,0.8289411046552664,1.0,0.018694680211298498
strong_site,0.13333333333333333,0.11333333333333334,0.6924492340695201,0.7773739997227787,1.0,0.006593621733308481
strong_site,0.16666666666666666,0.14166666666666666,0.6374364354739365,0.7343758115081416,1.0,-0.01575303904221499
strong_site,0.2,0.17000000000000004,0.5689041828948334,0.6760052502110766,1.0,-0.002974005039804731
strong_site,0.23333333333333334,0.19833333333333336,0.5175125884190486,0.6315541467689763,1.0,0.009386533522125848
strong_site,0.26666666666666666,0.22666666666666668,0.46926625323860904,0.589515804907963,1.0,0.003502036000878207
strong_site,0.3,0.255,0.4281664462933809,0.5462334780248349,1.0,0.00032778470489999375
strong_site,0.3333333333333333,0.2833333333333333,0.38273332319320497,0.5046425259087597,1.0,0.015068698718778277
strong_site,0.36666666666666664,0.3116666666666667,0.3574592018403103,0.4752658684016176,1.0,-0.00040864109122001695
strong_site,0.4,0.3400000000000001,0.31479493803042696,0.43606619461301815,1.0,0.003805205091934841
strong_site,0.43333333333333335,0.3683333333333334,0.2854895817324706,0.4039228299828,0.9998542061525003,-0.007624671534966721
strong_site,0.4666666666666667,0.3966666666666667,0.25222183415330607,0.3677925658701691,1.0,-0.005843945783278786
strong_site,0.5,0.42500000000000004,0.23134630130836256,0.3431921736608228,0.9996874511642444,0.008787945446146948
