R_theta_end,theta_end,effective_coefficient_V,effective_coefficient_mV_per_decade,fixed_selected_voltage_contribution_mV
0.229355,0.770645,0.0480905163293,110.732506014,70.8125282268
0.23082,0.76918,0.048299367469,111.213403535,70.8125282268
0.232285,0.767715,0.0485087018655,111.695413796,70.8125282268
0.23375,0.76625,0.0487185254025,112.178550345,70.8125282268
0.235215,0.764785,0.0489288439583,112.662826716,70.8125282268
0.23668,0.76332,0.0491396634062,113.148256434,70.8125282268
0.238145,0.761855,0.0493509896162,113.634853015,70.8125282268
0.23961,0.76039,0.0495628284559,114.122629969,70.8125282268
0.241075,0.758925,0.0497751857913,114.611600804,70.8125282268
0.24254,0.75746,0.049988067488,115.101779025,70.8125282268
0.244005,0.755995,0.0502014794124,115.593178141,70.8125282268
0.24547,0.75453,0.0504154274321,116.085811662,70.8125282268
0.246935,0.753065,0.0506299174176,116.579693105,70.8125282268
0.2484,0.7516,0.0508449552426,117.074835996,70.8125282268
0.249865,0.750135,0.0510605467854,117.571253868,70.8125282268
0.25133,0.74867,0.0512766979294,118.06896027,70.8125282268
0.252795,0.747205,0.0514934145644,118.567968763,70.8125282268
0.25426,0.74574,0.0517107025875,119.068292926,70.8125282268
0.255725,0.744275,0.0519285679034,119.569946355,70.8125282268
0.25719,0.74281,0.0521470164262,120.072942667,70.8125282268
0.258655,0.741345,0.0523660540794,120.577295502,70.8125282268
0.26012,0.73988,0.0525856867972,121.083018524,70.8125282268
0.261585,0.738415,0.0528059205254,121.590125424,70.8125282268
0.26305,0.73695,0.0530267612219,122.098629919,70.8125282268
0.264515,0.735485,0.053248214858,122.608545761,70.8125282268
0.26598,0.73402,0.0534702874186,123.119886728,70.8125282268
0.267445,0.732555,0.0536929849037,123.632666638,70.8125282268
0.26891,0.73109,0.0539163133286,124.14689934,70.8125282268
0.270375,0.729625,0.0541402787252,124.662598723,70.8125282268
0.27184,0.72816,0.0543648871422,125.179778716,70.8125282268
0.273305,0.726695,0.0545901446465,125.698453287,70.8125282268
0.27477,0.72523,0.0548160573238,126.21863645,70.8125282268
0.276235,0.723765,0.0550426312789,126.740342262,70.8125282268
0.2777,0.7223,0.0552698726373,127.263584826,70.8125282268
0.279165,0.720835,0.0554977875452,127.788378296,70.8125282268
0.28063,0.71937,0.0557263821707,128.314736873,70.8125282268
0.282095,0.717905,0.0559556627044,128.842674812,70.8125282268
0.28356,0.71644,0.0561856353603,129.372206421,70.8125282268
0.285025,0.714975,0.0564163063761,129.903346063,70.8125282268
0.28649,0.71351,0.0566476820148,130.43610816,70.8125282268
0.287955,0.712045,0.0568797685644,130.970507189,70.8125282268
0.28942,0.71058,0.0571125723396,131.506557692,70.8125282268
0.290885,0.709115,0.0573460996818,132.044274269,70.8125282268
0.29235,0.70765,0.0575803569602,132.583671586,70.8125282268
0.293815,0.706185,0.0578153505727,133.124764375,70.8125282268
