Q_mAh_cm2,n_nodes,n_positive_Av_bare,pearson_epss_jbare,spearman_epss_jbare,spearman_epss_intensive,spearman_epss_jsolid,spearman_epss_Avbare,frac_jbare_in_rich_half,frac_jsolid_in_rich_half,solid_share_node_sum,frac_nonzero_jsolid
80,5995,5995,0.566571406274,0.108625907589,0.109054048559,0.354641322953,-0.781714960619,0.70505305926,1,8.66745548806e-06,0.0285237698082
96,5995,5995,0.813772039699,0.377638791988,0.370673713048,0.911321759757,-0.985421074186,0.973275545043,0.534776422358,0.00178672048436,1
100,5995,5995,0.801049848934,0.490616287481,0.48529994026,0.842188753782,-0.971527608503,0.976839780515,0.542765482834,0.00264582723459,1
108,5995,5995,0.646705322847,0.826008206013,0.826711284152,0.895530105171,-0.935929150876,0.987968541287,0.606726751036,0.00567738165085,1
115,5995,5995,0.112848896035,0.882223985939,0.981591454466,0.981090919713,-0.969492192731,0.967431888143,0.856797134149,0.0235350179782,1
120,5995,5615,-0.207590732639,0.199057304765,0.957415331557,0.962681629819,-0.987619019404,0.842936627619,0.986018493952,0.314548017385,1
