q_mAh_cm2,time_s,V_control_V,V_physical_dense_V,deltaV_physical_minus_control_V,eps_s_control,eps_s_physical_dense,theta_control,theta_physical_dense,theta_dense_shadow_on_control,S_control,S_physical_dense,K_perm_control,K_perm_physical_dense
0,0,1.40071739838,1.40071848117,1.08278999988e-06,0,0,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.185496680423,0.18549668041,1,1
0.111111111111,10,1.40063989366,1.4006254115,-1.44821599999e-05,1.04384823703e-18,0,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.18667394183,0.186674109427,1,1
0.222222222222,20,1.40063730851,1.4006403478,3.03929000012e-06,7.13825093803e-18,2.97237636289e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.187416622714,0.187416908249,1,1
0.333333333333,30,1.40063686564,1.400648283,1.14173600001e-05,1.14315659514e-17,5.1928012602e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.188101323021,0.188101990136,1,1
0.444444444444,40,1.40062734314,1.40062914723,1.80409000006e-06,1.2451618256e-17,5.39903267481e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.188779195192,0.188780432477,1,1
0.555555555556,50,1.40061868142,1.40061564316,-3.03825999981e-06,1.22549052144e-17,4.94426596567e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.189457156482,0.189458159742,1,1
0.666666666667,60,1.40061338655,1.40061376713,3.80580000181e-07,1.22549052144e-17,4.94426596567e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.190137760069,0.190138216803,1,1
0.777777777778,70,1.40060809168,1.4006118911,3.79942000017e-06,1.22549052144e-17,4.94426596567e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.190819124058,0.19081909167,1,1
0.888888888889,80,1.4006027968,1.40061001507,7.21826999994e-06,1.22549052144e-17,4.94426596567e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.191501249744,0.191500785939,1,1
1,90,1.40059723539,1.40060603153,8.79613999993e-06,1.22549052144e-17,4.94426596567e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.192184030254,0.192183396015,1,1
1.11111111111,100,1.40059115328,1.40059793081,6.77753000011e-06,1.22549052144e-17,4.98656984559e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.192867357796,0.192866976767,1,1
1.22222222222,110,1.40058507117,1.40058983009,4.75891999985e-06,1.22549052144e-17,4.98656984559e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.193551442018,0.193551326016,1,1
1.33333333333,120,1.40057898906,1.40058172937,2.74031000003e-06,1.22549052144e-17,4.98656984559e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.194236284177,0.194236445084,1,1
1.44444444444,130,1.40057290695,1.40057362866,7.21709999985e-07,1.22549052144e-17,5.05531365046e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.194921885537,0.194922335294,1,1
1.55555555556,140,1.40056682483,1.40056552794,-1.29689000006e-06,1.22549052144e-17,5.05531365046e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.195608247362,0.195608997972,1,1
1.66666666667,150,1.40056074272,1.40055742722,-3.31549999988e-06,1.22549052144e-17,5.1399214103e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.19629537092,0.196296434448,1,1
1.77777777778,160,1.40055466061,1.4005493265,-5.33410999992e-06,1.22549052144e-17,5.18222529022e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.196983257481,0.196984646055,1,1
1.88888888889,170,1.4005485785,1.40054122578,-7.35271999996e-06,1.22549052144e-17,5.18222529022e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.197671908318,0.197673634129,1,1
2,180,1.40054211641,1.40054083948,-1.27692999996e-06,1.22549052144e-17,5.18222529022e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.19836043509,0.198362444915,1,1
2.11111111111,190,1.40053549049,1.40054377914,8.28864999991e-06,1.22549052144e-17,5.18222529022e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.199049342969,0.199051614866,1,1
2.22222222222,200,1.40052886457,1.4005467188,1.785423e-05,1.22549052144e-17,5.18222529022e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.199739016391,0.199741555609,1,1
2.33333333333,210,1.40052223865,1.40054965846,2.74198099999e-05,1.22549052144e-17,5.18222529022e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.200429456635,0.200432268449,1,1
2.44444444444,220,1.40051561274,1.40055259812,3.698538e-05,1.22549052144e-17,5.18222529022e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.201120664983,0.201123754692,1,1
2.55555555556,230,1.40050898682,1.40055553777,4.65509500001e-05,1.22549052144e-17,5.18222529022e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.201812642719,0.201816015649,1,1
2.66666666667,240,1.4005023609,1.40055847743,5.61165299999e-05,1.22549052144e-17,5.18222529022e-18,5.99998200002e-06,8.89577816601e-05,8.89577816601e-05,0.202505391132,0.202509052635,1,1
