Q_mAh_cm2,voltage_V,S_direct_avg,eps_s_feedback_avg,eps_s_tcd_native_raw_avg,eps_s_ode_avg,N_i2_ode_avg,R_precip_fraction_per_s_avg,R_diss_fraction_per_s_avg,i0_i2s_phase_A_m2_avg,j_bare_geom_A_m2,j_i2s_geom_A_m2,j_positive_geom_A_m2,cI2_total_avg_mol_m3,cI2_tank_mol_m3
0,1.40071739838,0.185496680423,0,-2.40918396344e-14,3.69345644477e-15,1,1.71015216279e-14,0,0,400.001270216,0,400.001270216,0.210758517196,0.0014080180226
0.111111111111,1.40063989357,0.186673941835,8.01129725988e-19,-2.40918396344e-14,1.71286950755e-13,1,1.71266868056e-14,1.78591387773e-24,0,400.332678596,0,400.332678596,0.763544219118,0.310159482816
0.222222222222,1.40063730928,0.187416622825,1.39126885087e-18,-2.40918396344e-14,3.42721819025e-13,1,1.71424002662e-14,3.09912542076e-24,0,400.596637001,0,400.596637001,1.11457922193,0.631537464918
0.333333333333,1.40063686682,0.188101323143,2.37747805151e-18,-2.40918396344e-14,5.14257755147e-13,1,1.71568047089e-14,5.29401949793e-24,0,400.588547442,0,400.588547442,1.43928719384,0.953581580388
0.444444444444,1.40062734396,0.188779195209,2.63288772653e-18,-2.40918396344e-14,6.85912134101e-13,1,1.71710427898e-14,5.85610336904e-24,0,400.216998669,0,400.216998669,1.7610205323,1.27563851451
0.555555555556,1.40061868175,0.189457156495,2.54775116819e-18,-2.40918396344e-14,8.58071422448e-13,1,1.71853519535e-14,5.66131569253e-24,0,400.00999645,0,400.00999645,2.08183995989,1.59747279986
0.666666666667,1.40061338658,0.190137760138,2.59005504811e-18,-2.40918396344e-14,1.03045447756e-12,1,1.71997720079e-14,5.75072500394e-24,0,400.005499902,0,400.005499902,2.40314217787,1.91918748889
0.777777777778,1.40060809141,0.190819124182,2.62389815205e-18,-2.40918396344e-14,1.20283753267e-12,1,1.72142327276e-14,5.82117390598e-24,0,400.002789294,0,400.002789294,2.72444439585,2.24090217791
0.888888888889,1.40060279624,0.191501249919,2.62389815205e-18,-2.40918396344e-14,1.37522058778e-12,1,1.72287342875e-14,5.81636690898e-24,0,400.001866343,0,400.001866343,3.04574661382,2.56261686693
1,1.40059723476,0.192184030434,2.62389815205e-18,-2.40918396344e-14,1.54803436746e-12,1,1.72432745406e-14,5.81151057622e-24,0,399.999660763,0,399.999660763,3.36699846251,2.88417173078
1.11111111111,1.400591153,0.192867357897,2.62389815205e-18,-2.40918396344e-14,1.72168959968e-12,1,1.72578511124e-14,5.8065627227e-24,0,399.99323336,0,399.99323336,3.68815191103,3.20541436426
1.22222222222,1.40058507124,0.193551442039,2.62389815205e-18,-2.40918396344e-14,1.89534483191e-12,1,1.72724685474e-14,5.80160935593e-24,0,399.988581518,0,399.988581518,4.00930535956,3.52665699775
1.33333333333,1.40057898948,0.19423628412,2.62389815205e-18,-2.40918396344e-14,2.06900006413e-12,1,1.72871270178e-14,5.79665046671e-24,0,399.985706911,0,399.985706911,4.33045880808,3.84789963123
1.44444444444,1.40057290772,0.194921885403,2.650338077e-18,-2.40918396344e-14,2.24265529636e-12,1,1.7301826697e-14,5.85012894462e-24,0,399.984611212,0,399.984611212,4.6516122566,4.16914226471
1.55555555556,1.40056682596,0.195608247151,2.67677800195e-18,-2.40918396344e-14,2.41631052858e-12,1,1.7316567759e-14,5.90350293829e-24,0,399.985296101,0,399.985296101,4.97276570512,4.4903848982
1.66666666667,1.4005607442,0.196295370633,2.69792994191e-18,-2.40918396344e-14,2.58996576081e-12,1,1.73313503792e-14,5.94510418735e-24,0,399.987763257,0,399.987763257,5.29391915365,4.81162753168
1.77777777778,1.40055466244,0.196983257118,2.69792994191e-18,-2.40918396344e-14,2.76362099303e-12,1,1.73461747337e-14,5.93998413668e-24,0,399.992014363,0,399.992014363,5.61507260217,5.13287016516
1.88888888889,1.40054858068,0.197671907881,2.69792994191e-18,-2.40918396344e-14,2.93727622525e-12,1,1.73610409997e-14,5.93485836352e-24,0,399.998051103,0,399.998051103,5.93622605069,5.45411279864
2,1.40054211975,0.198360434529,2.69792994191e-18,-2.40918396344e-14,3.11277237656e-12,1,1.73759319659e-14,5.92977212028e-24,0,399.989837628,0,399.989837628,6.25694205748,5.77489194861
2.11111111111,1.40053549534,0.199049342259,2.69792994191e-18,-2.40918396344e-14,3.28906221441e-12,1,1.73908576049e-14,5.92469977513e-24,0,399.976495808,0,399.976495808,6.57746946737,6.09547127413
2.22222222222,1.40052887093,0.199739015528,2.69792994191e-18,-2.40918396344e-14,3.46535205225e-12,1,1.7405825576e-14,5.91962182699e-24,0,399.964941158,0,399.964941158,6.89799687725,6.41605059966
2.33333333333,1.40052224652,0.200429455615,2.71114990438e-18,-2.40918396344e-14,3.64164189009e-12,1,1.742083606e-14,5.94354332193e-24,0,399.955175369,0,399.955175369,7.21852428714,6.73662992518
2.44444444444,1.40051562211,0.201120663802,2.71114990438e-18,-2.40918396344e-14,3.81793172794e-12,1,1.74358892385e-14,5.93842891379e-24,0,399.947200135,0,399.947200135,7.53905169703,7.0572092507
2.55555555556,1.4005089977,0.201812641374,2.71114990438e-18,-2.40918396344e-14,3.99422156578e-12,1,1.74509852943e-14,5.93330884654e-24,0,399.941017153,0,399.941017153,7.85957910692,7.37778857623
2.66666666667,1.40050237329,0.202505389618,2.71114990438e-18,-2.40918396344e-14,4.17051140362e-12,1,1.74661244114e-14,5.92818311079e-24,0,399.936628119,0,399.936628119,8.18010651681,7.69836790175
2.77777777778,1.40049574888,0.203198909825,2.73230184434e-18,-2.40918396344e-14,4.34680124147e-12,1,1.74813067744e-14,5.96930953012e-24,0,399.934034736,0,399.934034736,8.5006339267,8.01894722727
2.88888888889,1.40048912447,0.203893203288,2.73230184434e-18,-2.40918396344e-14,4.52309107931e-12,1,1.74965325693e-14,5.96413207465e-24,0,399.933238707,0,399.933238707,8.82116133659,8.3395265528
3,1.40048250007,0.204588271304,2.73230184434e-18,-2.40918396344e-14,4.69938091715e-12,1,1.75118019832e-14,5.95894887735e-24,0,399.934241737,0,399.934241737,9.14168874648,8.66010587832
3.11111111111,1.40047587566,0.20528411517,2.73230184434e-18,-2.40918396344e-14,4.875670755e-12,1,1.75271152042e-14,5.95375992866e-24,0,399.937045534,0,399.937045534,9.46221615637,8.98068520385
3.22222222222,1.40046925125,0.20598073619,2.73230184434e-18,-2.40918396344e-14,5.05196059284e-12,1,1.75424724213e-14,5.94856521903e-24,0,399.94165181,0,399.94165181,9.78274356626,9.30126452937
3.33333333333,1.40046262684,0.206678135669,2.73230184434e-18,-2.40918396344e-14,5.22825043068e-12,1,1.75578738248e-14,5.94336473888e-24,0,399.948062276,0,399.948062276,10.1032709761,9.62184385489
3.44444444444,1.40045600243,0.207376314914,2.73230184434e-18,-2.40918396344e-14,5.40454026853e-12,1,1.75733196062e-14,5.93815847861e-24,0,399.95627865,0,399.95627865,10.423798386,9.94242318042
3.55555555556,1.40044937802,0.208075275235,2.73230184434e-18,-2.40918396344e-14,5.58083010637e-12,1,1.75888099578e-14,5.93294642858e-24,0,399.966302648,0,399.966302648,10.7443257959,10.2630025059
3.66666666667,1.40044275361,0.208775017948,2.73230184434e-18,-2.40918396344e-14,5.75711994421e-12,1,1.76043450732e-14,5.92772857917e-24,0,399.97569394,0,399.97569394,11.0648532058,10.5835818315
3.77777777778,1.4004361292,0.209475544368,2.73230184434e-18,-2.40918396344e-14,5.93340978206e-12,1,1.76199251472e-14,5.9225049207e-24,0,399.961232578,0,399.961232578,11.3853806157,10.904161157
3.88888888889,1.40044983355,0.210176072932,2.73230184434e-18,-2.40918396344e-14,6.11207576263e-12,1,1.76355326866e-14,5.91728493874e-24,0,400.51655251,0,400.51655251,11.7055531742,11.22431543
4,1.40049171589,0.21087629932,2.74552180682e-18,-2.40918396344e-14,6.29403535143e-12,1,1.765116086e-14,5.94069072577e-24,0,401.87332782,0,401.87332782,12.0252338678,11.5438805312
4.11111111111,1.40053359824,0.211577308641,2.81162161919e-18,-2.40918396344e-14,6.47599494022e-12,1,1.76668343014e-14,6.07853509501e-24,0,403.188668157,0,403.188668157,12.3449145614,11.8634456323
4.22222222222,1.40057548058,0.212279102211,2.90151736403e-18,-2.40918396344e-14,6.65795452902e-12,1,1.76825532081e-14,6.26738774347e-24,0,404.46377862,0,404.46377862,12.664595255,12.1830107335
