case_id,time_s,q_mAh_cm2,voltage_V,S_direct,S_reconstructed,cI2_surf_free_avg_mol_m3,cI2_surf_tot_avg_mol_m3,beta_surf_avg,cI_minus_surf_avg_mol_m3,eps_s_avg,eps_s_reg_avg,theta_avg,A_bare_avg,K_perm_rel_avg,D_rel_avg,eps_l_eff_avg,Rfilm_avg_ohm_m2,R_precip_avg,R_diss_avg
matched_physical_dense,0,0,1.40071848117,0.18549668041,0.18549668041,0.0822368616484,103.839516308,1262.70664477,1688.48145108,0,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,0,1.71015216262e-14,0
matched_physical_dense,10,0.111111111111,1.4006254115,0.186674109427,0.186674109427,0.0827588551793,104.39233638,1261.51255342,1686.82299086,0,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,0,1.71266934469e-14,0
matched_physical_dense,20,0.222222222222,1.4006403478,0.187416908249,0.187416908249,0.0830881626573,104.74341396,1260.75422585,1685.76975812,2.97237636289e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,8.35333432169e-12,1.71424105185e-14,9.82119254478e-23
matched_physical_dense,30,0.333333333333,1.400648283,0.188101990136,0.188101990136,0.0833918822936,105.068157909,1260.05277892,1684.79552627,5.1928012602e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.45934429886e-11,1.71568340921e-14,1.71356825808e-22
matched_physical_dense,40,0.444444444444,1.40062914723,0.188780432477,0.188780432477,0.0836926583982,105.389916865,1259.35777957,1683.8302494,5.39903267481e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.5173019645e-11,1.7171102728e-14,1.77988738491e-22
matched_physical_dense,50,0.555555555556,1.40061564316,0.189458159742,0.189458159742,0.0839931174854,105.710722018,1258.66484044,1682.86783395,4.94426596567e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.3894978813e-11,1.71853997096e-14,1.62843002096e-22
matched_physical_dense,60,0.666666666667,1.40061376713,0.190138216803,0.190138216803,0.0842946094491,106.031992604,1257.97089598,1681.90402219,4.94426596567e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.3894978813e-11,1.71997910768e-14,1.62706932175e-22
matched_physical_dense,70,0.777777777778,1.4006118911,0.19081909167,0.19081909167,0.0845964639739,106.353263189,1257.27695151,1680.94021043,4.94426596567e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.3894978813e-11,1.7214226271e-14,1.62570700031e-22
matched_physical_dense,80,0.888888888889,1.40061001507,0.191500785939,0.191500785939,0.0848986817665,106.674533775,1256.58300705,1679.97639868,4.94426596567e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.3894978813e-11,1.72287055098e-14,1.62434305348e-22
matched_physical_dense,90,1,1.40060603153,0.192183396015,0.192183396015,0.0852013055664,106.99577087,1255.88913492,1679.01268739,4.94426596567e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.3894978813e-11,1.72432370365e-14,1.62298569712e-22
matched_physical_dense,100,1.11111111111,1.40059793081,0.192866976767,0.192866976767,0.0855043596998,107.316942539,1255.19540412,1678.04917238,4.98656984559e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.40138663322e-11,1.72578266775e-14,1.63554170242e-22
matched_physical_dense,110,1.22222222222,1.40058983009,0.193551326016,0.193551326016,0.0858077545339,107.638114208,1254.50167331,1677.08565738,4.98656984559e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.40138663322e-11,1.7272457936e-14,1.63418567441e-22
matched_physical_dense,120,1.33333333333,1.40058172937,0.194236445084,0.194236445084,0.086111490654,107.959285876,1253.80794251,1676.12214237,4.98656984559e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.40138663322e-11,1.72871309942e-14,1.6328281573e-22
matched_physical_dense,130,1.44444444444,1.40057362866,0.194922335294,0.194922335294,0.0864155686469,108.280457545,1253.1142117,1675.15862736,5.05531365046e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.4207058551e-11,1.73018460354e-14,1.65399749117e-22
matched_physical_dense,140,1.55555555556,1.40056552794,0.195608997972,0.195608997972,0.0867199891008,108.601629214,1252.4204809,1674.19511236,5.05531365046e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.4207058551e-11,1.7316603244e-14,1.65261786339e-22
matched_physical_dense,150,1.66666666667,1.40055742722,0.196296434448,0.196296434448,0.0870247526052,108.922800883,1251.72675009,1673.23159735,5.1399214103e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.44448335895e-11,1.73314028055e-14,1.6789168052e-22
matched_physical_dense,160,1.77777777778,1.4005493265,0.196984646055,0.196984646055,0.087329859751,109.243972552,1251.03301929,1672.26808234,5.18222529022e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.45637211088e-11,1.73462449065e-14,1.69133881559e-22
matched_physical_dense,170,1.88888888889,1.40054122578,0.197673634129,0.197673634129,0.0876353111306,109.565144221,1250.33928848,1671.30456734,5.18222529022e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.45637211088e-11,1.7361129735e-14,1.68991920135e-22
matched_physical_dense,180,2,1.40054083948,0.198362444915,0.198362444915,0.0879406839123,109.885908032,1249.64643865,1670.3422759,5.18222529022e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.45637211088e-11,1.73760338814e-14,1.68848677798e-22
matched_physical_dense,190,2.11111111111,1.40054377914,0.199051614866,0.199051614866,0.0882462159241,110.206496002,1248.95396863,1669.38051199,5.18222529022e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.45637211088e-11,1.73909704496e-14,1.68704791863e-22
matched_physical_dense,200,2.22222222222,1.4005467188,0.199741555609,0.199741555609,0.0885520896535,110.527083972,1248.26149862,1668.41874808,5.18222529022e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.45637211088e-11,1.74059497077e-14,1.6856074649e-22
matched_physical_dense,210,2.33333333333,1.40054965846,0.200432268449,0.200432268449,0.088858305679,110.847671942,1247.5690286,1667.45698417,5.18222529022e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.45637211088e-11,1.7420971841e-14,1.68416541411e-22
matched_physical_dense,220,2.44444444444,1.40055259812,0.201123754692,0.201123754692,0.0891648645801,111.168259912,1246.87655859,1666.49522026,5.18222529022e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.45637211088e-11,1.74360370356e-14,1.6827217636e-22
matched_physical_dense,230,2.55555555556,1.40055553777,0.201816015649,0.201816015649,0.0894717669379,111.488847882,1246.18408857,1665.53345635,5.18222529022e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.45637211088e-11,1.74511454789e-14,1.68127651068e-22
matched_physical_dense,240,2.66666666667,1.40055847743,0.202509052635,0.202509052635,0.0897790133346,111.809435852,1245.49161856,1664.57169244,5.18222529022e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.45637211088e-11,1.74662973593e-14,1.67982965268e-22
matched_physical_dense,250,2.77777777778,1.40056141709,0.203202866964,0.203202866964,0.090086604354,112.130023822,1244.79914854,1663.60992853,5.22188517765e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.46751781581e-11,1.74814928663e-14,1.69124552169e-22
matched_physical_dense,260,2.88888888889,1.40056435675,0.203897459957,0.203897459957,0.0903945405811,112.450611792,1244.10667853,1662.64816462,5.22188517765e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.46751781581e-11,1.74967321906e-14,1.68978428838e-22
matched_physical_dense,270,3,1.40056729641,0.204592832937,0.204592832937,0.0907028226021,112.771199762,1243.41420851,1661.68640071,5.24303711761e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.47346219177e-11,1.7512015524e-14,1.69516964789e-22
matched_physical_dense,280,3.11111111111,1.40057023607,0.205288987229,0.205288987229,0.0910114510047,113.091787732,1242.7217385,1660.7246368,5.22188517765e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.46751781581e-11,1.75273430593e-14,1.68685642223e-22
matched_physical_dense,290,3.22222222222,1.40057317573,0.205985924161,0.205985924161,0.091320426378,113.412375702,1242.02926848,1659.76287289,5.22188517765e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.46751781581e-11,1.75427149908e-14,1.68539030529e-22
matched_physical_dense,300,3.33333333333,1.40057611538,0.206683645065,0.206683645065,0.0916297493122,113.732963672,1241.33679847,1658.80110898,5.25572828158e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.47702881735e-11,1.75581315135e-14,1.69485272293e-22
matched_physical_dense,310,3.44444444444,1.40057905504,0.207382151276,0.207382151276,0.0919394203992,114.053551642,1240.64432845,1657.83934507,5.28957138552e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.48653981889e-11,1.75735928238e-14,1.7042943296e-22
matched_physical_dense,320,3.55555555556,1.4005819947,0.208081444132,0.208081444132,0.092249440232,114.374139612,1239.95185844,1656.87758116,5.32341448946e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.49605082043e-11,1.75890991194e-14,1.71371120554e-22
matched_physical_dense,330,3.66666666667,1.40058493436,0.208781524974,0.208781524974,0.0925598094051,114.694727582,1239.25938842,1655.91581725,5.32341448946e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.49605082043e-11,1.7604650599e-14,1.71220976442e-22
matched_physical_dense,340,3.77777777778,1.40058787402,0.209482395145,0.209482395145,0.0928705285141,115.015315552,1238.56691841,1654.95405334,5.33663445193e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.49976605541e-11,1.76202474624e-14,1.71496126327e-22
matched_physical_dense,350,3.88888888889,1.40060678005,0.21018309101,0.21018309101,0.0931811703478,115.335517738,1237.87528168,1653.99344678,5.33663445193e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.49976605541e-11,1.76358635832e-14,1.71345052031e-22
matched_physical_dense,360,4,1.4006478173,0.210883233283,0.210883233283,0.0934915667553,115.655185183,1237.1848,1653.03444445,5.37629433936e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.51091176034e-11,1.76514884378e-14,1.72467456939e-22
matched_physical_dense,370,4.11111111111,1.40068885456,0.211584157563,0.211584157563,0.0938023098531,115.974852628,1236.49431832,1652.07544211,5.40220546581e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.51819362089e-11,1.7667158487e-14,1.73145178601e-22
matched_physical_dense,380,4.22222222222,1.40072989182,0.212285865163,0.212285865163,0.0941134002224,116.294520073,1235.80383664,1651.11643978,5.45508531571e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.5330545608e-11,1.76828739269e-14,1.74687216087e-22
matched_physical_dense,390,4.33333333333,1.40077092907,0.212988357397,0.212988357397,0.0944248384458,116.614187518,1235.11335496,1650.15743744,5.45508531571e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.5330545608e-11,1.76986349552e-14,1.74531788933e-22
matched_physical_dense,400,4.44444444444,1.40081196633,0.21369163558,0.21369163558,0.094736625107,116.933854963,1234.42287328,1649.19843511,5.50267718062e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.54642940672e-11,1.77144417704e-14,1.75899264999e-22
matched_physical_dense,410,4.55555555556,1.40085300359,0.214395701033,0.214395701033,0.0950487607911,117.253522408,1233.7323916,1648.23943277,5.563489008e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.56351948761e-11,1.77302945723e-14,1.77686210374e-22
matched_physical_dense,420,4.66666666667,1.40089404084,0.215100555078,0.215100555078,0.0953612460846,117.573189853,1233.04190992,1647.28043044,5.63752079786e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.58432480348e-11,1.77461935619e-14,1.7989192951e-22
matched_physical_dense,430,4.77777777778,1.4009350781,0.215806199042,0.215806199042,0.0956740815751,117.892857298,1232.35142824,1646.3214281,5.75861565413e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.61835635587e-11,1.77621389412e-14,1.8359376834e-22
matched_physical_dense,440,4.88888888889,1.40097611536,0.216512634252,0.216512634252,0.0959872678519,118.212524743,1231.66094655,1645.36242577,5.87177853292e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.65015876727e-11,1.77781309136e-14,1.87037785521e-22
matched_physical_dense,450,5,1.40101715261,0.217219862042,0.217219862042,0.0963008055051,118.532192188,1230.97046487,1644.40342343,5.8849984954e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.65387400224e-11,1.77941696836e-14,1.87290629844e-22
matched_physical_dense,460,5.11111111111,1.40105818987,0.217927883744,0.217927883744,0.0966146951265,118.851859633,1230.27998319,1643.4444211,5.91884159933e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.66338500378e-11,1.78102554568e-14,1.88199155546e-22
matched_physical_dense,470,5.22222222222,1.40109922713,0.218636700697,0.218636700697,0.0969289373092,119.171527078,1229.58950151,1642.48541876,5.97383664323e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.67884038129e-11,1.78263884402e-14,1.89777331198e-22
matched_physical_dense,480,5.33333333333,1.40114026439,0.219346314243,0.219346314243,0.0972435326475,119.491194523,1228.89901983,1641.52641643,6.02142850814e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.6922152272e-11,1.78425688418e-14,1.91117934347e-22
matched_physical_dense,490,5.44444444444,1.40118130164,0.220056725723,0.220056725723,0.0975584817372,119.810861968,1228.20853815,1640.56741409,6.16103131187e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.73144810856e-11,1.7858796871e-14,1.95376329801e-22
matched_physical_dense,500,5.55555555556,1.4012223389,0.220767936485,0.220767936485,0.0978737851751,120.130529413,1227.51805647,1639.60841176,6.19487441581e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.7409591101e-11,1.78750727384e-14,1.9627208668e-22
matched_physical_dense,510,5.66666666667,1.40126337616,0.221479947879,0.221479947879,0.0981894435598,120.450196858,1226.82757479,1638.64940942,6.23453430324e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.75210481503e-11,1.78913966557e-14,1.97350149513e-22
matched_physical_dense,520,5.77777777778,1.40130441341,0.222192761258,0.222192761258,0.098505457491,120.769864303,1226.1370931,1637.69040709,6.27419419066e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.76325051996e-11,1.79077688361e-14,1.98425715341e-22
matched_physical_dense,530,5.88888888889,1.40134545067,0.222906377977,0.222906377977,0.0988218275698,121.089531748,1225.44661142,1636.73140475,6.42120017338e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.8045639329e-11,1.79241894938e-14,2.02893011518e-22
matched_physical_dense,540,6,1.40138648793,0.223620799395,0.223620799395,0.0991385543985,121.409199193,1224.75612974,1635.77240242,6.42120017338e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.8045639329e-11,1.79406588444e-14,2.02706964412e-22
matched_physical_dense,550,6.11111111111,1.40142752518,0.224336026875,0.224336026875,0.099455638581,121.728866638,1224.06564806,1634.81340008,6.51373991071e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.83057057774e-11,1.79571771049e-14,2.05443051455e-22
matched_physical_dense,560,6.22222222222,1.40146856244,0.22505206178,0.22505206178,0.0997730807225,122.048534083,1223.37516638,1633.85439775,6.53489185067e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.8365149537e-11,1.79737444934e-14,2.05920512596e-22
matched_physical_dense,570,6.33333333333,1.4015095997,0.22576890548,0.22576890548,0.10009088143,122.368201528,1222.6846847,1632.89539541,6.61632681952e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.85940080116e-11,1.79903612293e-14,2.08295928816e-22
matched_physical_dense,580,6.44444444444,1.40155063696,0.226486559346,0.226486559346,0.10040904131,122.687868973,1221.99420302,1631.93639308,6.69035860938e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.88020611703e-11,1.80070275334e-14,2.10434651789e-22
matched_physical_dense,590,6.55555555556,1.40159167421,0.227205024751,0.227205024751,0.100727560973,123.007536418,1221.30372134,1630.97739074,6.75857361575e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.89937672951e-11,1.80237436279e-14,2.12385870433e-22
matched_physical_dense,600,6.66666666667,1.40163271147,0.227924303074,0.227924303074,0.101046441029,123.327203863,1220.61323965,1630.01838841,6.79823350317e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.91052243444e-11,1.80405097361e-14,2.13435283594e-22
matched_physical_dense,610,6.77777777778,1.40167374873,0.228644395694,0.228644395694,0.101365682091,123.646871308,1219.92275797,1629.05938607,6.81938544313e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.9164668104e-11,1.80573260827e-14,2.13900339798e-22
matched_physical_dense,620,6.88888888889,1.40171478598,0.229365303996,0.229365303996,0.101685284772,123.966538753,1219.23227629,1628.10038374,6.87226529303e-18,1e-09,8.89577816601e-05,0.999911042218,1,1,0.85,1.93132775031e-11,1.8074192894e-14,2.1536003994e-22
