canonical_relative_path,original_filename,normalized_display_filename,operator_confirmed_actual_chemistry,correction_type,confirmation_date,bytes,sha256,number_of_project_paths_with_same_hash,all_project_paths_with_same_hash,raw_file_renamed_or_modified,correction_basis
battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580951.ndax,ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580951.ndax,ZnI2+3NH4Br_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580951.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,3268,798E075195C85D9BAE7331FD1EB5892261B8AA50940B2732F1016D7E7CEE9BAD,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580951.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\NH4Cl_series_3M\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580951.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\03_constant_condition_cycling\constant_80mA_cap_no_mAh_no_cycle_loop\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580951.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Cl-5_127.0.0.1-BTS82-56-5-7-2818580856.ndax,PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Cl-5_127.0.0.1-BTS82-56-5-7-2818580856.ndax,PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Br-5_127.0.0.1-BTS82-56-5-7-2818580856.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,928334,7DFEC0CAB4621AD17C6F4AE1292B849B317EF230954580274D1C92704AC1B7B6,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Cl-5_127.0.0.1-BTS82-56-5-7-2818580856.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\03_compression_thickness_variable\3mm\PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Cl-5_127.0.0.1-BTS82-56-5-7-2818580856.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\00_rate_test\rate_200-1200mA_cap_160mAh_cycles_4-5000\PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Cl-5_127.0.0.1-BTS82-56-5-7-2818580856.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580952.ndax,ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580952.ndax,ZnI2+3NH4Br_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580952.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,306132,8334E967CE0273CDF246A8345D82C9A42EDCECC2A1863841C7D881B3CE425777,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580952.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\NH4Cl_series_3M\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580952.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\03_constant_condition_cycling\constant_80mA_cap_no_mAh_cycles_4\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580952.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-1_127.0.0.1-BTS82-56-5-7-2818580859.ndax,PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-1_127.0.0.1-BTS82-56-5-7-2818580859.ndax,PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Br-1_127.0.0.1-BTS82-56-5-7-2818580859.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,435676,873113924DFB622D05591B275E236A607FDFB2B713DF1BB711E26A9F636F05CD,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-1_127.0.0.1-BTS82-56-5-7-2818580859.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\ZnBr2_NH4Cl_system\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-1_127.0.0.1-BTS82-56-5-7-2818580859.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\00_rate_test\rate_200-1200mA_cap_160mAh_cycles_4-5000\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-1_127.0.0.1-BTS82-56-5-7-2818580859.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+4NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580962 (1).ndax,ZnI2+4NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580962 (1).ndax,ZnI2+4NH4Br_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580962 (1).ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,690255,88BBF5C5FB8FED02355586F3229D08D8712EC617490713B82B0F314B9A079F2B,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+4NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580962 (1).ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\NH4Cl_series_4M\ZnI2+4NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580962 (1).ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\03_constant_condition_cycling\constant_80mA_cap_no_mAh_cycles_4\ZnI2+4NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580962 (1).ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+1NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580954.ndax,ZnI2+1NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580954.ndax,ZnI2+1NH4Br_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580954.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,697937,8FD0F6DD8BE42E06464E10AFE372372D484A158DEAD4BA1772F2019EB4B98766,5,battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+1NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580954.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\NH4Cl_series_1M\ZnI2+1NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580954.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\03_constant_condition_cycling\constant_80mA_cap_no_mAh_cycles_3-4\ZnI2+1NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580954.ndax | battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\exact_duplicates\ZnI2+1NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580954 (1).ndax | battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\exact_duplicates\ZnI2+1NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580954 (2).ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Cl-4_127.0.0.1-BTS82-56-5-7-2818580855.ndax,PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Cl-4_127.0.0.1-BTS82-56-5-7-2818580855.ndax,PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Br-4_127.0.0.1-BTS82-56-5-7-2818580855.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,431895,913DF6A4C629533FDBA9E74B6B70BFD4B54C407138EDAF0176831672060016EE,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Cl-4_127.0.0.1-BTS82-56-5-7-2818580855.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\03_compression_thickness_variable\3mm\PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Cl-4_127.0.0.1-BTS82-56-5-7-2818580855.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\00_rate_test\rate_200-1200mA_cap_160mAh_cycles_4-5000\PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Cl-4_127.0.0.1-BTS82-56-5-7-2818580855.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-2_127.0.0.1-BTS82-56-5-7-2818580866.ndax,PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-2_127.0.0.1-BTS82-56-5-7-2818580866.ndax,PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Br-2_127.0.0.1-BTS82-56-5-7-2818580866.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,524064,9485975F6586A316F0EBF1CDFD4375EB71F8EFDE13921F55BC0A69DA70C23D9B,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-2_127.0.0.1-BTS82-56-5-7-2818580866.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\ZnBr2_NH4Cl_system\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-2_127.0.0.1-BTS82-56-5-7-2818580866.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\00_rate_test\rate_200-1200mA_cap_160mAh_cycles_4-5000\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-2_127.0.0.1-BTS82-56-5-7-2818580866.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Cl-10_127.0.0.1-BTS82-56-5-7-2818580885.ndax,PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Cl-10_127.0.0.1-BTS82-56-5-7-2818580885.ndax,PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Br-10_127.0.0.1-BTS82-56-5-7-2818580885.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,570382,A13BF65E31C7B3F85A45EC64C19B4956F189FBC99A391AF0D296F3091301E769,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Cl-10_127.0.0.1-BTS82-56-5-7-2818580885.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\ZnBr2_NH4Cl_system\PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Cl-10_127.0.0.1-BTS82-56-5-7-2818580885.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\00_rate_test\rate_200-1200mA_cap_160mAh_cycles_4-5000\PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Cl-10_127.0.0.1-BTS82-56-5-7-2818580885.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Cl_127.0.0.1-BTS82-56-5-7-2818580843.ndax,PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Cl_127.0.0.1-BTS82-56-5-7-2818580843.ndax,PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Br_127.0.0.1-BTS82-56-5-7-2818580843.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,434703,A53ED75549700670D679D2825E275961D28C53A717AAA15E93E68683A96D6BEB,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Cl_127.0.0.1-BTS82-56-5-7-2818580843.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\03_compression_thickness_variable\3mm\PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Cl_127.0.0.1-BTS82-56-5-7-2818580843.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\00_rate_test\rate_200-1200mA_cap_160mAh_cycles_4-5000\PN450-fuelcellstore-3mm-m212-15mL1MZnBr2+4MNH4Cl_127.0.0.1-BTS82-56-5-7-2818580843.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Cl-13_127.0.0.1-BTS82-56-5-7-2818580890.ndax,PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Cl-13_127.0.0.1-BTS82-56-5-7-2818580890.ndax,PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Br-13_127.0.0.1-BTS82-56-5-7-2818580890.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,541687,B30603984432D9AD6B5FD826ED963D82A1784171712384524D9979426CCB6546,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Cl-13_127.0.0.1-BTS82-56-5-7-2818580890.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\ZnBr2_NH4Cl_system\PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Cl-13_127.0.0.1-BTS82-56-5-7-2818580890.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\00_rate_test\rate_200-1200mA_cap_160mAh_cycles_4-5-5000\PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Cl-13_127.0.0.1-BTS82-56-5-7-2818580890.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\exact_duplicates\ZnI2+4NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-4-2818580962 (1).ndax,ZnI2+4NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-4-2818580962 (1).ndax,ZnI2+4NH4Br_M_ZnI2_same_127.0.0.1-BTS82-56-5-4-2818580962 (1).ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,688102,BC032F4E6716E8F8CEA5CBA49669B6AD486F327A147D6E42F09B2CA0919D9C27,2,battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\exact_duplicates\ZnI2+4NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-4-2818580962 (1).ndax | battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\exact_duplicates\ZnI2+4NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-4-2818580962.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-9-电极框3--（漏液）-.ndax,PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-9-电极框3--（漏液）-.ndax,PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Br-9-电极框3--（漏液）-.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,339305,CB983B0E2A571E657B46FB99A2A13054ADFF1491B84720221F030E85E624CCE7,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-9-电极框3--（漏液）-.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\05_issue_or_failed_runs\leak_or_louye+electrode_frame_note\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-9-电极框3--（漏液）-.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\00_rate_test\rate_200-1200mA_cap_160mAh_cycles_4-5000\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-9-电极框3--（漏液）-.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\incomplete_records\04092024_2NH4Cl.ndax,04092024_2NH4Cl.ndax,04092024_2NH4Br.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,164781,D544EDF6CD50B761FEB0F57A81FAC27F2CA4B0055EB06FDD69B7B575BFE8447F,1,battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\incomplete_records\04092024_2NH4Cl.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-6_127.0.0.1-BTS82-56-5-7-2818580874_20240612152835.ndax,PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-6_127.0.0.1-BTS82-56-5-7-2818580874_20240612152835.ndax,PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Br-6_127.0.0.1-BTS82-56-5-7-2818580874_20240612152835.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,437813,D836D0A17C6F50D2F3273080431BC995A3FDD7852BC101A17AD6691BF3F57FE5,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-6_127.0.0.1-BTS82-56-5-7-2818580874_20240612152835.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\ZnBr2_NH4Cl_system\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-6_127.0.0.1-BTS82-56-5-7-2818580874_20240612152835.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\00_rate_test\rate_200-1200mA_cap_160mAh_cycles_4-5000\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-6_127.0.0.1-BTS82-56-5-7-2818580874_20240612152835.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\incomplete_records\ZnI2+4NH4Cl.ndax,ZnI2+4NH4Cl.ndax,ZnI2+4NH4Br.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,163767,D9D6C8AAFDAEC6CCEBEBD5F2D46F8614290946E14281A7165FDD7B2328C9A60A,1,battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\incomplete_records\ZnI2+4NH4Cl.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-8-电极框改2.ndax,PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-8-电极框改2.ndax,PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Br-8-电极框改2.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,430517,FAA03AC50ED0A1BCE25EE8746C8B505BBB09F54C4D7D15130905108396F6CD94,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-8-电极框改2.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\05_issue_or_failed_runs\electrode_frame_note\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-8-电极框改2.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\00_rate_test\rate_200-1200mA_cap_160mAh_cycles_4-5000\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-8-电极框改2.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-7-2818580948.ndax,ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-7-2818580948.ndax,ZnI2+3NH4Br_M_ZnI2_same30_127.0.0.1-BTS82-56-5-7-2818580948.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,1298567,FC8C5E416AD3966369F31B4F9890237284676872C686F705AB9C771775F770FE,5,battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-7-2818580948.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\NH4Cl_series_3M\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-7-2818580948.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\03_constant_condition_cycling\constant_80mA_cap_no_mAh_cycles_4\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-7-2818580948.ndax | battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\exact_duplicates\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-7-2818580948 (1).ndax | battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\exact_duplicates\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-7-2818580948 (2).ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
