canonical_relative_path,original_filename,normalized_display_filename,operator_confirmed_actual_chemistry,correction_type,confirmation_date,bytes,sha256,number_of_project_paths_with_same_hash,all_project_paths_with_same_hash,raw_file_renamed_or_modified,correction_basis
battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+4NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580962.ndax,ZnI2+4NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580962.ndax,ZnI2+4NH4Br_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580962.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,1068907,3A33BDBDC5784A1091F280D29CCA80379FBF05329BAEF01F9C3E297E59511214,4,battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+4NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580962.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\NH4Cl_series_4M\ZnI2+4NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580962.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\03_constant_condition_cycling\constant_80mA_cap_no_mAh_cycles_4\ZnI2+4NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580962.ndax | battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\exact_duplicates\ZnI2+4NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580962 (2).ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+0NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580953.ndax,ZnI2+0NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580953.ndax,ZnI2+0NH4Br_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580953.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,160094,4343189191DC88A48C9F301227F49322E84F06BCCA7CB58890E7E0CB4609838C,5,battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+0NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580953.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\NH4Cl_series_0M\ZnI2+0NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580953.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\03_constant_condition_cycling\constant_80mA_cap_no_mAh_cycles_3-4\ZnI2+0NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580953.ndax | battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\exact_duplicates\ZnI2+0NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580953 (1).ndax | battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\exact_duplicates\ZnI2+0NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580953 (2).ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+3NH4CL_M_ZnI2_same2_127.0.0.1-BTS82-56-5-4-2818580949.ndax,ZnI2+3NH4CL_M_ZnI2_same2_127.0.0.1-BTS82-56-5-4-2818580949.ndax,ZnI2+3NH4Br_M_ZnI2_same2_127.0.0.1-BTS82-56-5-4-2818580949.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,70124,444553982A9D58FB927117FF01977EEE3979329E6B636C64F04618994CD552B9,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+3NH4CL_M_ZnI2_same2_127.0.0.1-BTS82-56-5-4-2818580949.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\NH4Cl_series_3M\ZnI2+3NH4CL_M_ZnI2_same2_127.0.0.1-BTS82-56-5-4-2818580949.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\03_constant_condition_cycling\constant_80mA_cap_no_mAh_cycles_4\ZnI2+3NH4CL_M_ZnI2_same2_127.0.0.1-BTS82-56-5-4-2818580949.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580950.ndax,ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580950.ndax,ZnI2+3NH4Br_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580950.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,3030,494559B47302CE6581C2AC4105F45531CD1F0FEC3815F0188E49BC1809E036D6,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580950.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\NH4Cl_series_3M\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580950.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\03_constant_condition_cycling\constant_80mA_cap_no_mAh_no_cycle_loop\ZnI2+3NH4CL_M_ZnI2_same30_127.0.0.1-BTS82-56-5-4-2818580950.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\incomplete_records\00000000_ZnI2+2NH4CL_M_ZnI2_same2-240056-5-4-2818580969.ndax,00000000_ZnI2+2NH4CL_M_ZnI2_same2-240056-5-4-2818580969.ndax,00000000_ZnI2+2NH4Br_M_ZnI2_same2-240056-5-4-2818580969.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,164617,5133399AE69E8D1D5B59228D3D0DF000F9FE57AB36EDD253430F99F3FF3CE947,1,battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\incomplete_records\00000000_ZnI2+2NH4CL_M_ZnI2_same2-240056-5-4-2818580969.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+5NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580980.ndax,ZnI2+5NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580980.ndax,ZnI2+5NH4Br_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580980.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,201350,5E14D941C607AC5AA991D4FE3B84C78B515DB34089583B9E674794F8C515F73B,4,battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+5NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580980.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\NH4Cl_series_5M\ZnI2+5NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580980.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\03_constant_condition_cycling\constant_80mA_cap_no_mAh_cycles_4\ZnI2+5NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580980.ndax | battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\exact_duplicates\ZnI2+5NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-7-2818580980 (1).ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+2NH4CL_M_ZnI2_same2_127.0.0.1-BTS82-56-5-4-2818580969.ndax,ZnI2+2NH4CL_M_ZnI2_same2_127.0.0.1-BTS82-56-5-4-2818580969.ndax,ZnI2+2NH4Br_M_ZnI2_same2_127.0.0.1-BTS82-56-5-4-2818580969.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,741058,5EFB5BA674E67C372C81026AB2352EC2483BD4326B8A59A47068EC3E2324E444,4,battery_experiment\01_raw_experiment_files\ndax_curated_active\ZnI2+2NH4CL_M_ZnI2_same2_127.0.0.1-BTS82-56-5-4-2818580969.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\NH4Cl_series_2M\ZnI2+2NH4CL_M_ZnI2_same2_127.0.0.1-BTS82-56-5-4-2818580969.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\03_constant_condition_cycling\constant_80mA_cap_no_mAh_cycles_3-4\ZnI2+2NH4CL_M_ZnI2_same2_127.0.0.1-BTS82-56-5-4-2818580969.ndax | battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\exact_duplicates\ZnI2+2NH4CL_M_ZnI2_same2_127.0.0.1-BTS82-56-5-4-2818580969 (2).ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-4_127.0.0.1-BTS82-56-5-7-2818580869.ndax,PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-4_127.0.0.1-BTS82-56-5-7-2818580869.ndax,PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Br-4_127.0.0.1-BTS82-56-5-7-2818580869.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,1399747,623C986ED1C1E906D8FDCEA3E7B8EFC51AEBA6BF775B6DCE41D54274D28CE0AA,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-4_127.0.0.1-BTS82-56-5-7-2818580869.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\ZnBr2_NH4Cl_system\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-4_127.0.0.1-BTS82-56-5-7-2818580869.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\00_rate_test\rate_200-1200mA_cap_160mAh_cycles_4-5000\PN450-fuelcellstore-2mm-m212-15mL1MZnBr2+4MNH4Cl-4_127.0.0.1-BTS82-56-5-7-2818580869.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\exact_duplicates\ZnI2+2NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-4-2818580962 (2).ndax,ZnI2+2NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-4-2818580962 (2).ndax,ZnI2+2NH4Br_M_ZnI2_same_127.0.0.1-BTS82-56-5-4-2818580962 (2).ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,46094,7043FDB3D5E3B0C8877B91B001707E303DAA305F27A872A53FA1607D547F1352,2,battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\exact_duplicates\ZnI2+2NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-4-2818580962 (2).ndax | battery_experiment\01_raw_experiment_files\ndax_removed_duplicates_or_incomplete_NOT_FOR_ANALYSIS\incomplete_records\ZnI2+2NH4CL_M_ZnI2_same_127.0.0.1-BTS82-56-5-4-2818580962.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Cl-12_127.0.0.1-BTS82-56-5-7-2818580889.ndax,PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Cl-12_127.0.0.1-BTS82-56-5-7-2818580889.ndax,PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Br-12_127.0.0.1-BTS82-56-5-7-2818580889.ndax,NH4Br,operator-confirmed metadata correction,2026-07-11,290108,7670A47AAE92FA1ABCA8EFD465C17023B0E2672104C65FF03C38B7063BA00BA3,3,battery_experiment\01_raw_experiment_files\ndax_curated_active\PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Cl-12_127.0.0.1-BTS82-56-5-7-2818580889.ndax | battery_experiment\01_raw_experiment_files\ndax_by_category\04_electrolyte_variable\ZnBr2_NH4Cl_system\PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Cl-12_127.0.0.1-BTS82-56-5-7-2818580889.ndax | battery_experiment\01_raw_experiment_files\ndax_by_condition\00_rate_test\rate_200-1200mA_cap_160mAh_cycles_4-5000\PN450-fuelcellstore-2mm-m212-15mL-1ZnBr2+MNH4Cl-12_127.0.0.1-BTS82-56-5-7-2818580889.ndax,no,operator-confirmed metadata correction: all experimental labels containing NH4Cl/NH4CL refer to cells prepared with NH4Br; raw names are preserved
