law,retained_pore_fraction,eps_s,K_hydraulic_rel,evidence_role
small_throat,0.133333333333333,0.113333333333333,0.761822096706711,physical pore-network permeability comparator
small_throat,0.166666666666667,0.141666666666667,0.716588451421319,physical pore-network permeability comparator
small_throat,0.2,0.17,0.674880480872259,physical pore-network permeability comparator
small_throat,0.233333333333333,0.198333333333333,0.6363025540175,physical pore-network permeability comparator
small_throat,0.266666666666667,0.226666666666667,0.600439859372511,physical pore-network permeability comparator
small_throat,0.3,0.255,0.566980862271905,physical pore-network permeability comparator
small_throat,0.333333333333333,0.283333333333333,0.535715785823251,physical pore-network permeability comparator
small_throat,0.366666666666667,0.311666666666667,0.506460985441183,physical pore-network permeability comparator
small_throat,0.4,0.34,0.479032098390668,physical pore-network permeability comparator
small_throat,0.433333333333333,0.368333333333333,0.453293921590407,physical pore-network permeability comparator
small_throat,0.466666666666667,0.396666666666667,0.429104659219277,physical pore-network permeability comparator
small_throat,0.5,0.425,0.406246627636983,physical pore-network permeability comparator
current_path,0,0,1,physical pore-network permeability comparator
current_path,0.0333333333333333,0.0283333333333333,0.8369002293101,physical pore-network permeability comparator
current_path,0.0666666666666666,0.0566666666666666,0.68741764075352,physical pore-network permeability comparator
current_path,0.1,0.085,0.55266604309623,physical pore-network permeability comparator
current_path,0.133333333333333,0.113333333333333,0.43499574757138,physical pore-network permeability comparator
current_path,0.166666666666667,0.141666666666667,0.336837513613546,physical pore-network permeability comparator
current_path,0.2,0.17,0.257286484964167,physical pore-network permeability comparator
current_path,0.233333333333333,0.198333333333333,0.19557491018041,physical pore-network permeability comparator
current_path,0.266666666666667,0.226666666666667,0.148883568051008,physical pore-network permeability comparator
current_path,0.3,0.255,0.113644214259347,physical pore-network permeability comparator
current_path,0.333333333333333,0.283333333333333,0.0874010073921391,physical pore-network permeability comparator
current_path,0.366666666666667,0.311666666666667,0.0679611407358413,physical pore-network permeability comparator
current_path,0.4,0.34,0.0533180853809226,physical pore-network permeability comparator
current_path,0.433333333333333,0.368333333333333,0.0420390384974349,physical pore-network permeability comparator
current_path,0.466666666666667,0.396666666666667,0.0333092947137886,physical pore-network permeability comparator
current_path,0.5,0.425,0.0265332455617578,physical pore-network permeability comparator
collector_biased,0,0,1,physical pore-network permeability comparator
collector_biased,0.0333333333333333,0.0283333333333333,0.914154361009799,physical pore-network permeability comparator
collector_biased,0.0666666666666666,0.0566666666666666,0.82719654769021,physical pore-network permeability comparator
collector_biased,0.1,0.085,0.740038616482223,physical pore-network permeability comparator
collector_biased,0.133333333333333,0.113333333333333,0.653803025000298,physical pore-network permeability comparator
collector_biased,0.166666666666667,0.141666666666667,0.569565632129692,physical pore-network permeability comparator
collector_biased,0.2,0.17,0.488348452802362,physical pore-network permeability comparator
collector_biased,0.233333333333333,0.198333333333333,0.410826355066779,physical pore-network permeability comparator
collector_biased,0.266666666666667,0.226666666666667,0.337894840279289,physical pore-network permeability comparator
collector_biased,0.3,0.255,0.270754201644545,physical pore-network permeability comparator
collector_biased,0.333333333333333,0.283333333333333,0.210766565410903,physical pore-network permeability comparator
collector_biased,0.366666666666667,0.311666666666667,0.159460975488023,physical pore-network permeability comparator
collector_biased,0.4,0.34,0.117122509983473,physical pore-network permeability comparator
collector_biased,0.433333333333333,0.368333333333333,0.0829407949043669,physical pore-network permeability comparator
collector_biased,0.466666666666667,0.396666666666667,0.0564282416074568,physical pore-network permeability comparator
collector_biased,0.5,0.425,0.0360008071244678,physical pore-network permeability comparator
strong_site,0,0,1,physical pore-network permeability comparator
strong_site,0.0333333333333333,0.0283333333333333,0.914139536615999,physical pore-network permeability comparator
strong_site,0.0666666666666666,0.0566666666666666,0.834884338164372,physical pore-network permeability comparator
strong_site,0.1,0.085,0.755721529650138,physical pore-network permeability comparator
strong_site,0.133333333333333,0.113333333333333,0.69244923406952,physical pore-network permeability comparator
strong_site,0.166666666666667,0.141666666666667,0.637436435473936,physical pore-network permeability comparator
strong_site,0.2,0.17,0.568904182894833,physical pore-network permeability comparator
strong_site,0.233333333333333,0.198333333333333,0.517512588419049,physical pore-network permeability comparator
strong_site,0.266666666666667,0.226666666666667,0.469266253238609,physical pore-network permeability comparator
strong_site,0.3,0.255,0.428166446293381,physical pore-network permeability comparator
strong_site,0.333333333333333,0.283333333333333,0.382733323193205,physical pore-network permeability comparator
strong_site,0.366666666666667,0.311666666666667,0.35745920184031,physical pore-network permeability comparator
strong_site,0.4,0.34,0.314794938030427,physical pore-network permeability comparator
strong_site,0.433333333333333,0.368333333333333,0.285489581732471,physical pore-network permeability comparator
strong_site,0.466666666666667,0.396666666666667,0.252221834153306,physical pore-network permeability comparator
strong_site,0.5,0.425,0.231346301308363,physical pore-network permeability comparator
