law,retained_pore_fraction,eps_s,K_hydraulic_rel,evidence_role
uniform,0,0,1,physical pore-network permeability comparator
uniform,0.0333333333333333,0.0283333333333333,0.913948200812135,physical pore-network permeability comparator
uniform,0.0666666666666666,0.0566666666666666,0.832394946295754,physical pore-network permeability comparator
uniform,0.1,0.085,0.755476016673792,physical pore-network permeability comparator
uniform,0.133333333333333,0.113333333333333,0.683240960497702,physical pore-network permeability comparator
uniform,0.166666666666667,0.141666666666667,0.61565904606534,physical pore-network permeability comparator
uniform,0.2,0.17,0.552699949857265,physical pore-network permeability comparator
uniform,0.233333333333333,0.198333333333333,0.494276883698265,physical pore-network permeability comparator
uniform,0.266666666666667,0.226666666666667,0.44024098949171,physical pore-network permeability comparator
uniform,0.3,0.255,0.390402374658884,physical pore-network permeability comparator
uniform,0.333333333333333,0.283333333333333,0.344632548142014,physical pore-network permeability comparator
uniform,0.366666666666667,0.311666666666667,0.30274803896687,physical pore-network permeability comparator
uniform,0.4,0.34,0.264601791704705,physical pore-network permeability comparator
uniform,0.433333333333333,0.368333333333333,0.230019430323967,physical pore-network permeability comparator
uniform,0.466666666666667,0.396666666666667,0.198782288672533,physical pore-network permeability comparator
uniform,0.5,0.425,0.170570874522703,physical pore-network permeability comparator
surface_area,0,0,1,physical pore-network permeability comparator
surface_area,0.0333333333333333,0.0283333333333333,0.920902867977469,physical pore-network permeability comparator
surface_area,0.0666666666666666,0.0566666666666666,0.845014483321412,physical pore-network permeability comparator
surface_area,0.1,0.085,0.772347778120167,physical pore-network permeability comparator
surface_area,0.133333333333333,0.113333333333333,0.702918037423118,physical pore-network permeability comparator
surface_area,0.166666666666667,0.141666666666667,0.636743477039132,physical pore-network permeability comparator
surface_area,0.2,0.17,0.5738459394372,physical pore-network permeability comparator
surface_area,0.233333333333333,0.198333333333333,0.514251381539165,physical pore-network permeability comparator
surface_area,0.266666666666667,0.226666666666667,0.457989859633712,physical pore-network permeability comparator
surface_area,0.3,0.255,0.405093333831613,physical pore-network permeability comparator
surface_area,0.333333333333333,0.283333333333333,0.355589751010779,physical pore-network permeability comparator
surface_area,0.366666666666667,0.311666666666667,0.309506810205534,physical pore-network permeability comparator
surface_area,0.4,0.34,0.266873024515529,physical pore-network permeability comparator
surface_area,0.433333333333333,0.368333333333333,0.227705162622228,physical pore-network permeability comparator
surface_area,0.466666666666667,0.396666666666667,0.191998423295259,physical pore-network permeability comparator
surface_area,0.5,0.425,0.159724182437613,physical pore-network permeability comparator
small_throat,0,0,1,physical pore-network permeability comparator
small_throat,0.0333333333333333,0.0283333333333333,0.928063767793569,physical pore-network permeability comparator
small_throat,0.0666666666666666,0.0566666666666666,0.866266750766946,physical pore-network permeability comparator
small_throat,0.1,0.085,0.811359667515069,physical pore-network permeability comparator
