variant,species,D_mean,D_sem,D_min,D_max,n_soc,charge_scaling,uncertainty_definition,evidence_role,display_order,variant_order,low_end_D_eff_prior_min_1e9_m2_s,low_end_D_eff_prior_max_1e9_m2_s
q1p0,I-,0.708401462417665,0.0205336820633598,0.646872980820476,0.74400039043834,5,q=1.0 formal charges,propagated four-block within-trajectory stability; not independent-replicate SEM,force-field-limited bulk mobility prior,0,0,0.424742211883067,0.664274664606689
q0p8_ecc,I-,1.22235238454995,0.0304357481965355,1.04547801109202,1.39842727764321,5,q=0.8 ECC,propagated four-block within-trajectory stability; not independent-replicate SEM,force-field-limited bulk mobility prior,0,1,0.424742211883067,0.664274664606689
q1p0,I3-,0.53333106258468,0.0317099853232797,0.383401253154963,0.90374569379255,5,q=1.0 formal charges,propagated four-block within-trajectory stability; not independent-replicate SEM,force-field-limited bulk mobility prior,1,0,0.424742211883067,0.664274664606689
q0p8_ecc,I3-,0.752153545193426,0.0671160693797047,0.607106518769021,0.882982395816852,5,q=0.8 ECC,propagated four-block within-trajectory stability; not independent-replicate SEM,force-field-limited bulk mobility prior,1,1,0.424742211883067,0.664274664606689
q1p0,I2Br-,0.517692077148757,0.0422922787962637,0.0036002088989561,0.888998641095813,5,q=1.0 formal charges,propagated four-block within-trajectory stability; not independent-replicate SEM,force-field-limited bulk mobility prior,2,0,0.424742211883067,0.664274664606689
q0p8_ecc,I2Br-,0.724293657392591,0.087739679818921,0.61600908405617,0.826872839278843,5,q=0.8 ECC,propagated four-block within-trajectory stability; not independent-replicate SEM,force-field-limited bulk mobility prior,2,1,0.424742211883067,0.664274664606689
