KJ_LOADED sols=sol1|sol2|sol3|sol4|sol5|sol6
TR,baseline_KC,8.2222222,1.4023084,1.0000000,5.0061354e-18
TR,baseline_KC,8.3333333,1.4023967,1.0000000,5.0061354e-18
TR,baseline_KC,8.4444444,1.4024849,1.0000000,5.0061354e-18
TR,baseline_KC,8.5555556,1.4025731,1.0000000,5.0061354e-18
TR,baseline_KC,8.6666667,1.4026613,1.0000000,5.0061354e-18
TR,baseline_KC,8.7777778,1.4027496,1.0000000,5.0061354e-18
TR,baseline_KC,8.8888889,1.4028378,1.0000000,5.0061354e-18
TR,baseline_KC,9.0000000,1.4029260,1.0000000,5.0061354e-18
TR,baseline_KC,9.1111111,1.4030142,1.0000000,5.0061354e-18
TR,baseline_KC,9.2222222,1.4031024,1.0000000,5.0061354e-18
TR,baseline_KC,9.3333333,1.4031907,1.0000000,5.0061354e-18
TR,baseline_KC,9.4444444,1.4032789,1.0000000,5.0061354e-18
TR,baseline_KC,9.5555556,1.4033671,1.0000000,5.0061354e-18
TR,baseline_KC,9.6666667,1.4034553,1.0000000,5.0061354e-18
TR,baseline_KC,9.7777778,1.4035436,1.0000000,5.0061354e-18
TR,baseline_KC,9.8888889,1.4036318,1.0000000,5.0061354e-18
TR,baseline_KC,10.000000,1.4037200,1.0000000,5.0061354e-18
TR,baseline_KC,10.111111,1.4038082,1.0000000,5.0061354e-18
TR,baseline_KC,10.222222,1.4038964,1.0000000,5.0061354e-18
TR,baseline_KC,10.333333,1.4039847,1.0000000,5.0061354e-18
TR,baseline_KC,10.444444,1.4040729,1.0000000,5.0061354e-18
TR,baseline_KC,10.555556,1.4041611,1.0000000,5.0061354e-18
TR,baseline_KC,10.666667,1.4042493,1.0000000,5.0061354e-18
TR,baseline_KC,10.777778,1.4043376,1.0000000,5.0061354e-18
TR,baseline_KC,10.888889,1.4044258,1.0000000,5.0061354e-18
TR,baseline_KC,11.000000,1.4045140,1.0000000,5.0061354e-18
TR,baseline_KC,11.111111,1.4046022,1.0000000,5.0061354e-18
