theta_end,A_bare_end,bT_needed_V,tafel_mV_dec,physical
0.4,0.6,0.1386236808262978,319.19282100659785,no
0.5,0.5,0.10216088330565909,235.2341269867149,high-ish
0.63,0.37,0.0712218921951012,163.994467263269,yes
0.8,0.19999999999999996,0.04399829759181881,101.30982415203782,yes
0.9,0.09999999999999998,0.030753490258531038,70.81252822683118,yes
0.95,0.050000000000000044,0.023637802634086078,54.428051976381994,high-ish
0.986,0.014000000000000012,0.016588788681413714,38.197097528651575,high-ish
