input_key,frozen_package,path_workspace_relative,size_bytes,sha256,used_for,frozen_input
composition_targets,R581_COMPOSITION_AXIS_REBUILD,battery_experiment/02_processed_data/R581_COMPOSITION_AXIS_REBUILD/cell_target_level_results.csv,9789,F117B87BFE4B50C442A8D883CC5BE45048A15E97A783E209637C15BAC689118F,panel a cell-level medians and full within-cell ranges,True
composition_conditions,R581_COMPOSITION_AXIS_REBUILD,battery_experiment/02_processed_data/R581_COMPOSITION_AXIS_REBUILD/concentration_descriptive_summary.csv,819,FC9A262C5F71C922CAD043F4059D6C5243172F96743403B225B3C931E0CFBB7B,panel a n_cell and condition medians,True
composition_registry,R581_COMPOSITION_AXIS_REBUILD,battery_experiment/02_processed_data/R581_COMPOSITION_AXIS_REBUILD/physical_cell_registry.csv,3478,F6264A84D0DBEE442B75EF883099929553465BA3A174FB5DE6B9F55397140CC5,panel a physical-cell stitching and raw hashes,True
rate_plot_table,R581_4M_RATE_HIGH_LOADING_REBUILD,battery_experiment/02_processed_data/R581_4M_RATE_HIGH_LOADING_REBUILD/primary_rate_plus_separate_400_proxy_plot_table.csv,6404,062BA6F56D37EC82C5881F5F62CBB8B0E7FB8D05C19343836D62DF59435CA872,panel b pristine ladder and separate 40/400 markers,True
rate_input_manifest,R581_4M_RATE_HIGH_LOADING_REBUILD,battery_experiment/02_processed_data/R581_4M_RATE_HIGH_LOADING_REBUILD/input_manifest.csv,1715,AEC66C7D7CC6D185C0DA98A5D562A9D12A2A7DD2429C052B51E2412852668B0F,panels b/d physical-cell raw hashes,True
compression_endpoints,R581_COMPRESSION_EVIDENCE_REBUILD,battery_experiment/02_processed_data/R581_COMPRESSION_EVIDENCE_REBUILD/endpoint_sensitivity.csv,4062,30A9D0B7E4CE2416ACA886DCB1E52B1550DF01EF4699E8AE93D3BDA49DE77BBE,panel c CE-qualified command brackets,True
g4_metrics,R581_G4_DVDQ_REBUILD,battery_experiment/02_processed_data/R581_G4_DVDQ_REBUILD/dvdq_metrics_by_cycle_and_window.csv,4653,7BB07D8E335B3E164C1E2BA1E42BF14FD6917E6A63CAFCBEC5F13BD0E7D5ECE3,panel d all-cycle/all-window onset and peak locations,True
g4_eligible_cycles,R581_G4_DVDQ_REBUILD,battery_experiment/02_processed_data/R581_G4_DVDQ_REBUILD/eligible_cycles.csv,912,1DFB2A1A857A27C017B360020865373DF9E018CA95B39CF596F231CBB6420D50,panel d eligibility and cycle-set cross-check,True
g4_summary,R581_G4_DVDQ_REBUILD,battery_experiment/02_processed_data/R581_G4_DVDQ_REBUILD/analysis_summary.json,935,4EA4603B4FE775ADF17ED569EFD6286956988F57483F0EBD18F0D3F07A96599E,panel d model-marker values and registered counts,True
