"case_id","q_mAh_cm2","S_avg","cI2_surf_tot_avg","beta_surf_avg"
"baseline_J40_Q120","0.0","0.185496680423","103.839516293","1262.70664481"
"baseline_J40_Q120","0.111111111111","0.186673941835","104.392301995","1261.51262769"
"baseline_J40_Q120","0.222222222222","0.187416622825","104.743336998","1260.75439209"
"baseline_J40_Q120","0.333333333333","0.188101323143","105.06804497","1260.05302287"
"baseline_J40_Q120","0.444444444444","0.188779195209","105.389778308","1259.35807885"
"baseline_J40_Q120","0.555555555556","0.189457156495","105.710597736","1258.66510889"
"baseline_J40_Q120","0.666666666667","0.190137760138","106.031899954","1257.9710961"
"baseline_J40_Q120","0.777777777778","0.190819124182","106.353202172","1257.27708331"
"baseline_J40_Q120","0.888888888889","0.191501249919","106.674504389","1256.58307052"
"baseline_J40_Q120","1.0","0.192184030434","106.995756238","1255.88916653"
"baseline_J40_Q120","1.11111111111","0.192867357897","107.316909687","1255.19547508"
"baseline_J40_Q120","1.22222222222","0.193551442039","107.638063135","1254.50178363"
"baseline_J40_Q120","1.33333333333","0.19423628412","107.959216584","1253.80809218"
"baseline_J40_Q120","1.44444444444","0.194921885403","108.280370032","1253.11440073"
"baseline_J40_Q120","1.55555555556","0.195608247151","108.601523481","1252.42070928"
"baseline_J40_Q120","1.66666666667","0.196295370633","108.922676929","1251.72701783"
"baseline_J40_Q120","1.77777777778","0.196983257118","109.243830378","1251.03332638"
"baseline_J40_Q120","1.88888888889","0.197671907881","109.564983826","1250.33963493"
"baseline_J40_Q120","2.0","0.198360434529","109.885699833","1249.64688836"
"baseline_J40_Q120","2.11111111111","0.199049342259","110.206227243","1248.95454915"
"baseline_J40_Q120","2.22222222222","0.199739015528","110.526754653","1248.26220995"
"baseline_J40_Q120","2.33333333333","0.200429455615","110.847282063","1247.56987074"
"baseline_J40_Q120","2.44444444444","0.201120663802","111.167809473","1246.87753154"
"baseline_J40_Q120","2.55555555556","0.201812641374","111.488336883","1246.18519233"
"baseline_J40_Q120","2.66666666667","0.202505389618","111.808864292","1245.49285313"
"baseline_J40_Q120","2.77777777778","0.203198909825","112.129391702","1244.80051392"
"baseline_J40_Q120","2.88888888889","0.203893203288","112.449919112","1244.10817472"
"baseline_J40_Q120","3.0","0.204588271304","112.770446522","1243.41583551"
"baseline_J40_Q120","3.11111111111","0.20528411517","113.090973932","1242.72349631"
"baseline_J40_Q120","3.22222222222","0.20598073619","113.411501342","1242.0311571"
"baseline_J40_Q120","3.33333333333","0.206678135669","113.732028752","1241.3388179"
"baseline_J40_Q120","3.44444444444","0.207376314914","114.052556162","1240.64647869"
