Q_mAh_cm2,V_baseline_KC_V,V_network_smooth_path_V,DeltaV_network_minus_KC_mV,K_over_K0_baseline_KC,K_over_K0_network_smooth_path,eps_s_baseline_KC,eps_s_network_smooth_path,evidence_class
6.8888889,1.4015807,1.4015811,0.000400000000012,1,1,4.5450231e-18,8.4914463e-18,E-SIM
7,1.4016225,1.4016231,0.000599999999906,1,1,4.5788662e-18,8.5252894e-18,E-SIM
7.1111111,1.4016644,1.401665,0.000599999999906,1,1,4.6819819e-18,8.5252894e-18,E-SIM
7.2222222,1.4017063,1.4017069,0.000599999999906,1,1,4.7687049e-18,8.5252894e-18,E-SIM
7.3333333,1.4017482,1.4017488,0.000599999999906,1,1,4.8712918e-18,8.5464413e-18,E-SIM
7.4444444,1.4017901,1.4017907,0.000600000000128,1,1,4.8977317e-18,8.5125982e-18,E-SIM
7.5555556,1.401832,1.4018326,0.000600000000128,1,1,4.9796955e-18,8.5125982e-18,E-SIM
7.6666667,1.4018738,1.4018745,0.000699999999965,1,1,5.0140674e-18,8.5337502e-18,E-SIM
7.7777778,1.4019556,1.4019562,0.000600000000128,1,1,5.0272873e-18,8.5337502e-18,E-SIM
7.8888889,1.4020438,1.4020444,0.000600000000128,1,1,5.0272873e-18,8.5337502e-18,E-SIM
8,1.402132,1.4021326,0.000600000000128,1,1,5.0272873e-18,8.5337502e-18,E-SIM
8.1111111,1.4022202,1.4022208,0.000600000000128,1,1,5.0272873e-18,8.5337502e-18,E-SIM
8.2222222,1.4023084,1.402309,0.000600000000128,1,1,5.0061354e-18,8.5337502e-18,E-SIM
8.3333333,1.4023967,1.4023973,0.000600000000128,1,1,5.0061354e-18,8.5337502e-18,E-SIM
8.4444444,1.4024849,1.4024855,0.000600000000128,1,1,5.0061354e-18,8.5337502e-18,E-SIM
8.5555556,1.4025731,1.4025737,0.000600000000128,1,1,5.0061354e-18,8.5337502e-18,E-SIM
8.6666667,1.4026613,1.4026619,0.000599999999906,1,1,5.0061354e-18,8.5337502e-18,E-SIM
8.7777778,1.4027496,1.4027501,0.00050000000007,1,1,5.0061354e-18,8.5337502e-18,E-SIM
8.8888889,1.4028378,1.4028383,0.00050000000007,1,1,5.0061354e-18,8.5337502e-18,E-SIM
9,1.402926,1.4029266,0.000600000000128,1,1,5.0061354e-18,8.5675933e-18,E-SIM
9.1111111,1.4030142,1.4030148,0.000599999999906,1,1,5.0061354e-18,8.5675933e-18,E-SIM
9.2222222,1.4031024,1.403103,0.000599999999906,1,1,5.0061354e-18,8.5675933e-18,E-SIM
9.3333333,1.4031907,1.4031912,0.00050000000007,1,1,5.0061354e-18,8.5675933e-18,E-SIM
9.4444444,1.4032789,1.4032794,0.000499999999848,1,1,5.0061354e-18,8.5675933e-18,E-SIM
