label,phi_ppt,n_n_m2,Q_mAh_cm2,eps_s,geometric_A_over_A0,geometric_removed_fraction,family,point_role,evidence_role
retained_highNn,0.02,100000000000000,0,0,1,0,dense placement,zero-solid boundary by definition,single-fibre geometric remaining-area comparator; distinct from native COMSOL A_bare/A0
retained_highNn,0.02,100000000000000,12,0.0013563827355059,0.543789686828853,0.456210313171147,dense placement,computed single-fibre node,single-fibre geometric remaining-area comparator; distinct from native COMSOL A_bare/A0
retained_highNn,0.02,100000000000000,36,0.0040691482065179,0.292923556988954,0.707076443011047,dense placement,computed single-fibre node,single-fibre geometric remaining-area comparator; distinct from native COMSOL A_bare/A0
retained_highNn,0.02,100000000000000,60,0.0067819136775298,0.17769622883714,0.82230377116286,dense placement,computed single-fibre node,single-fibre geometric remaining-area comparator; distinct from native COMSOL A_bare/A0
retained_highNn,0.02,100000000000000,84,0.0094946791485418,0.116592778496836,0.883407221503164,dense placement,computed single-fibre node,single-fibre geometric remaining-area comparator; distinct from native COMSOL A_bare/A0
retained_highNn,0.02,100000000000000,120,0.0135638273550597,0.0563936788417384,0.943606321158262,dense placement,computed single-fibre node,single-fibre geometric remaining-area comparator; distinct from native COMSOL A_bare/A0
baseline_lowNn,0.005,100000000000,0,0,1,0,sparse placement,zero-solid boundary by definition,single-fibre geometric remaining-area comparator; distinct from native COMSOL A_bare/A0
baseline_lowNn,0.005,100000000000,12,0.0003390956838764,0.971736302525143,0.0282636974748565,sparse placement,computed single-fibre node,single-fibre geometric remaining-area comparator; distinct from native COMSOL A_bare/A0
baseline_lowNn,0.005,100000000000,36,0.0010172870516294,0.944329607197906,0.0556703928020938,sparse placement,computed single-fibre node,single-fibre geometric remaining-area comparator; distinct from native COMSOL A_bare/A0
baseline_lowNn,0.005,100000000000,60,0.0016954784193824,0.930470322107997,0.069529677892003,sparse placement,computed single-fibre node,single-fibre geometric remaining-area comparator; distinct from native COMSOL A_bare/A0
baseline_lowNn,0.005,100000000000,84,0.0023736697871354,0.912374328097717,0.0876256719022831,sparse placement,computed single-fibre node,single-fibre geometric remaining-area comparator; distinct from native COMSOL A_bare/A0
baseline_lowNn,0.005,100000000000,120,0.0033909568387649,0.889833877889193,0.110166122110807,sparse placement,computed single-fibre node,single-fibre geometric remaining-area comparator; distinct from native COMSOL A_bare/A0
