m_exp,v_ratio,flow_mL_min,delta_ratio,delta_um,Q_onset,dQ,within_declared_25_to_100_mL_min,evidence_class
0.4,0.2,10,1.90365393872,47.5913484679,65.5568621269,-17.463337345,False,E-POST
0.4,0.297435897436,14.8717948718,1.62421174681,40.6052936703,70.9367155005,-12.0834839714,False,E-POST
0.4,0.394871794872,19.7435897436,1.4501654519,36.2541362976,74.2965987019,-8.72360076992,False,E-POST
0.4,0.492307692308,24.6153846154,1.32771649667,33.1929124167,76.664817006,-6.35538246586,False,E-POST
0.4,0.589743589744,29.4871794872,1.2351926775,30.8798169375,78.4567281128,-4.56347135907,True,E-POST
0.4,0.687179487179,34.358974359,1.16190849031,29.0477122578,79.8775854727,-3.14261399917,True,E-POST
0.4,0.784615384615,39.2307692308,1.10188754018,27.5471885045,81.0422940837,-1.97790538812,True,E-POST
0.4,0.882051282051,44.1025641026,1.05148350897,26.2870877243,82.0211963213,-0.999003150511,True,E-POST
0.4,0.979487179487,48.9743589744,1.00832491317,25.2081228293,82.8599878715,-0.160211600345,True,E-POST
0.4,1.07692307692,53.8461538462,0.970791861107,24.2697965277,83.5898913648,0.569691892942,True,E-POST
0.4,1.17435897436,58.7179487179,0.937733975887,23.4433493972,84.2331358633,1.21293639149,True,E-POST
0.4,1.27179487179,63.5897435897,0.908308068858,22.7077017215,84.8060881681,1.78588869621,True,E-POST
0.4,1.36923076923,68.4615384615,0.881879688448,22.0469922112,85.3210094691,2.30080999726,True,E-POST
0.4,1.46666666667,73.3333333333,0.857960771928,21.4490192982,85.7872514872,2.76705201536,True,E-POST
0.4,1.5641025641,78.2051282051,0.836168703996,20.9042175999,86.2122075954,3.19200812357,True,E-POST
0.4,1.66153846154,83.0769230769,0.816198590521,20.404964763,86.6017612585,3.58156178666,True,E-POST
0.4,1.75897435897,87.9487179487,0.797803976301,19.9450994075,86.9607091113,3.94050963947,True,E-POST
