time_label,time_s,Q_mAh_cm2,x_m,y_m,eps_s_pos,theta_eff,A_bare_frac,j_total_A_m2,one_minus_theta_eff,A_bare_native_minus_one_minus_theta
q080,7200,80,0.0030000000000000001,0,0,5.9999820000200002e-06,0.99999400001799998,648.72231720399998,0.99999400001799998,0
q080,7200,80,0.0030370370370400002,0,0,5.9999820000200002e-06,0.99999400001799998,282.24563571200002,0.99999400001799998,0
q080,7200,80,0.0030740740740700001,0,0,5.9999820000200002e-06,0.99999400001799998,82.150194405899995,0.99999400001799998,0
q080,7200,80,0.0031111111111099998,0,0,5.9999820000200002e-06,0.99999400001799998,48.301091734300002,0.99999400001799998,0
q080,7200,80,0.00314814814815,0,0,5.9999820000200002e-06,0.99999400001799998,21.029895696800001,0.99999400001799998,0
q080,7200,80,0.0031851851851900002,0,0,5.9999820000200002e-06,0.99999400001799998,6.1316765598299998,0.99999400001799998,0
q080,7200,80,0.0032222222222200001,0,0,5.9999820000200002e-06,0.99999400001799998,3.6063781776199999,0.99999400001799998,0
q080,7200,80,0.0032592592592600002,0,0,5.9999820000200002e-06,0.99999400001799998,1.5711912943699999,0.99999400001799998,0
q080,7200,80,0.0032962962962999999,0,0,5.9999820000200002e-06,0.99999400001799998,0.45982140867499999,0.99999400001799998,0
q080,7200,80,0.0033333333333299998,0,0,5.9999820000200002e-06,0.99999400001799998,0.27226849374099998,0.99999400001799998,0
q080,7200,80,0.00337037037037,0,0,5.9999820000200002e-06,0.99999400001799998,0.120103869276,0.99999400001799998,0
q080,7200,80,0.0034074074074100002,0,0,5.9999820000200002e-06,0.99999400001799998,0.037077787390599998,0.99999400001799998,0
q080,7200,80,0.0034444444444400001,0,0,5.9999820000200002e-06,0.99999400001799998,0.023190248426599998,0.99999400001799998,0
q080,7200,80,0.0034814814814800002,0,0,5.9999820000200002e-06,0.99999400001799998,0.0117833601556,0.99999400001799998,0
q080,7200,80,0.0035185185185199999,0,0,5.9999820000200002e-06,0.99999400001799998,0.00557214331639,0.99999400001799998,0
q080,7200,80,0.0035555555555600001,0,0,5.9999820000200002e-06,0.99999400001799998,0.00455659769496,0.99999400001799998,0
q080,7200,80,0.00359259259259,0,0,5.9999820000200002e-06,0.99999400001799998,0.0036973010699100002,0.99999400001799998,0
q080,7200,80,0.0036296296296300001,0,0,5.9999820000200002e-06,0.99999400001799998,0.0032316517220799998,0.99999400001799998,0
q080,7200,80,0.0036666666666699999,0,0,5.9999820000200002e-06,0.99999400001799998,0.0031596502838400001,0.99999400001799998,0
q080,7200,80,0.0037037037037000002,0,0,5.9999820000200002e-06,0.99999400001799998,0.00309435350174,0.99999400001799998,0
q080,7200,80,0.0037407407407399999,0,0,5.9999820000200002e-06,0.99999400001799998,0.0030592856880999999,0.99999400001799998,0
q080,7200,80,0.0037777777777800001,0,0,5.9999820000200002e-06,0.99999400001799998,0.0030544466315600002,0.99999400001799998,0
q080,7200,80,0.00381481481481,0,0,5.9999820000200002e-06,0.99999400001799998,0.0030493962697600002,0.99999400001799998,0
q080,7200,80,0.0038518518518500001,0,0,5.9999820000200002e-06,0.99999400001799998,0.0030467522513000001,0.99999400001799998,0
q080,7200,80,0.0038888888888899999,0,0,5.9999820000200002e-06,0.99999400001799998,0.0030465143665700002,0.99999400001799998,0
q080,7200,80,0.0039259259259299996,0,0,5.9999820000200002e-06,0.99999400001799998,0.0030461876707499999,0.99999400001799998,0
q080,7200,80,0.0039629629629600004,0,0,5.9999820000200002e-06,0.99999400001799998,0.0030463569956200001,0.99999400001799998,0
q080,7200,80,0.0040000000000000001,0,0,5.9999820000200002e-06,0.99999400001799998,0.00304702283412,0.99999400001799998,0
