role,upstream_workspace_path,frozen_workspace_path,bytes,sha256,status
registered single-fibre geometry field,manuscript/source_data/Fig_R556_mesoscale_renders/R531_fiber3d_morphology.npz,manuscript/source_data/R582_SI_FigS10_comparator_definitions/inputs/R531_fiber3d_morphology.npz,84756,072AB9F898149FABDABFF757BA7A831E2252B295D044B78214343A6AABE5864E,read-only frozen copy; byte-identical to registered upstream
registered pore-network geometry/connectivity field,manuscript/source_data/Fig_R556_mesoscale_renders/R531_network3d_field.npz,manuscript/source_data/R582_SI_FigS10_comparator_definitions/inputs/R531_network3d_field.npz,331570,5FE65C09B47C0481F37AFA62435D91AA61064736B741258764ECDC3DF8AC7AF3,read-only frozen copy; byte-identical to registered upstream
registered single-fibre model definition,fiber/scripts/R531_fiber3d.py,manuscript/source_data/R582_SI_FigS10_comparator_definitions/inputs/R531_fiber3d.py,12613,9037F64EA515B1A9BA5DE68EF91FAB231A4E0840AD8ACCBF12F57E793F4791B4,read-only frozen copy; byte-identical to registered upstream
registered pore-network model definition,pore_system/scripts/R531_network3d.py,manuscript/source_data/R582_SI_FigS10_comparator_definitions/inputs/R531_network3d.py,9954,6A2B51CE5E19E6A96A4B2B6ECED71CFB24B10FA447B819B9F49BBD3199EA7787,read-only frozen copy; byte-identical to registered upstream
