edge_index,node_0,node_1,x0_index,y0_index,x1_index,y1_index,z_index,axis,r0_um
1792,1792,2017,7,14,8,14,7,x,33.3882235456
1807,1807,2032,8,0,9,0,7,x,20.7165544834
1822,1822,2047,8,1,9,1,7,x,10.2626407994
1837,1837,2062,8,2,9,2,7,x,7.66696686258
1852,1852,2077,8,3,9,3,7,x,14.9909227514
1867,1867,2092,8,4,9,4,7,x,6.14025063538
1882,1882,2107,8,5,9,5,7,x,15.8301221352
1897,1897,2122,8,6,9,6,7,x,23.5453903006
1912,1912,2137,8,7,9,7,7,x,18.7603520007
1927,1927,2152,8,8,9,8,7,x,8.45187937975
1942,1942,2167,8,9,9,9,7,x,17.6776754159
1957,1957,2182,8,10,9,10,7,x,20.3117474246
1972,1972,2197,8,11,9,11,7,x,22.116606112
1987,1987,2212,8,12,9,12,7,x,15.7246802027
2002,2002,2227,8,13,9,13,7,x,8.13552625935
2017,2017,2242,8,14,9,14,7,x,9.65032551369
2032,2032,2257,9,0,10,0,7,x,18.9273612042
2047,2047,2272,9,1,10,1,7,x,12.5080350303
2062,2062,2287,9,2,10,2,7,x,8.29520660222
2077,2077,2302,9,3,10,3,7,x,15.5071857606
2092,2092,2317,9,4,10,4,7,x,31.3782071098
2107,2107,2332,9,5,10,5,7,x,13.5842340545
2122,2122,2347,9,6,10,6,7,x,12.9925272459
2137,2137,2362,9,7,10,7,7,x,5.93509839134
2152,2152,2377,9,8,10,8,7,x,9.19573623877
2167,2167,2392,9,9,10,9,7,x,10.0337247022
2182,2182,2407,9,10,10,10,7,x,38.7237411206
2197,2197,2422,9,11,10,11,7,x,15.4701532325
2212,2212,2437,9,12,10,12,7,x,34.2410984904
2227,2227,2452,9,13,10,13,7,x,8.01167564098
2242,2242,2467,9,14,10,14,7,x,10.1236509788
2257,2257,2482,10,0,11,0,7,x,17.6273014189
2272,2272,2497,10,1,11,1,7,x,15.6465847261
2287,2287,2512,10,2,11,2,7,x,22.8499670377
2302,2302,2527,10,3,11,3,7,x,11.1490664349
2317,2317,2542,10,4,11,4,7,x,9.0715090776
2332,2332,2557,10,5,11,5,7,x,21.0432165621
2347,2347,2572,10,6,11,6,7,x,15.4279361283
2362,2362,2587,10,7,11,7,7,x,13.4006422385
2377,2377,2602,10,8,11,8,7,x,16.2780483706
2392,2392,2617,10,9,11,9,7,x,21.1550366177
2407,2407,2632,10,10,11,10,7,x,10.9890618767
2422,2422,2647,10,11,11,11,7,x,16.9392648181
2437,2437,2662,10,12,11,12,7,x,14.5111067495
2452,2452,2677,10,13,11,13,7,x,5.6844190183
2467,2467,2692,10,14,11,14,7,x,23.7966988672
2482,2482,2707,11,0,12,0,7,x,19.8219882689
2497,2497,2722,11,1,12,1,7,x,12.9158237507
2512,2512,2737,11,2,12,2,7,x,18.7399078648
2527,2527,2752,11,3,12,3,7,x,11.1571816436
2542,2542,2767,11,4,12,4,7,x,11.8557277861
2557,2557,2782,11,5,12,5,7,x,12.9832952238
2572,2572,2797,11,6,12,6,7,x,13.5632814318
2587,2587,2812,11,7,12,7,7,x,32.3020177213
2602,2602,2827,11,8,12,8,7,x,18.2057035931
2617,2617,2842,11,9,12,9,7,x,7.07389073525
2632,2632,2857,11,10,12,10,7,x,14.875262757
2647,2647,2872,11,11,12,11,7,x,19.9458379786
2662,2662,2887,11,12,12,12,7,x,17.8365437993
2677,2677,2902,11,13,12,13,7,x,9.80707978955
2692,2692,2917,11,14,12,14,7,x,11.4951936902
2707,2707,2932,12,0,13,0,7,x,9.09916195305
2722,2722,2947,12,1,13,1,7,x,9.10300401257
2737,2737,2962,12,2,13,2,7,x,12.2429941175
2752,2752,2977,12,3,13,3,7,x,24.1250508415
2767,2767,2992,12,4,13,4,7,x,27.5277966343
2782,2782,3007,12,5,13,5,7,x,11.1503327096
2797,2797,3022,12,6,13,6,7,x,14.1638022704
2812,2812,3037,12,7,13,7,7,x,27.37109613
2827,2827,3052,12,8,13,8,7,x,23.7281655036
2842,2842,3067,12,9,13,9,7,x,11.2959877365
2857,2857,3082,12,10,13,10,7,x,14.1595484826
2872,2872,3097,12,11,13,11,7,x,17.5353864565
2887,2887,3112,12,12,13,12,7,x,6.45083721111
2902,2902,3127,12,13,13,13,7,x,20.0205138746
2917,2917,3142,12,14,13,14,7,x,25.3824839331
2932,2932,3157,13,0,14,0,7,x,11.5698731087
2947,2947,3172,13,1,14,1,7,x,21.0889337163
2962,2962,3187,13,2,14,2,7,x,19.7058308169
2977,2977,3202,13,3,14,3,7,x,28.424028898
2992,2992,3217,13,4,14,4,7,x,13.7689151339
3007,3007,3232,13,5,14,5,7,x,22.0407857834
3022,3022,3247,13,6,14,6,7,x,12.0385895939
3037,3037,3262,13,7,14,7,7,x,20.0732440627
3052,3052,3277,13,8,14,8,7,x,25.4839728699
3067,3067,3292,13,9,14,9,7,x,27.1938300453
3082,3082,3307,13,10,14,10,7,x,12.6691076748
3097,3097,3322,13,11,14,11,7,x,24.1868728946
3112,3112,3337,13,12,14,12,7,x,12.7910874347
3127,3127,3352,13,13,14,13,7,x,16.6629931746
3142,3142,3367,13,14,14,14,7,x,13.1911050018
3157,7,22,0,0,0,1,7,y,13.3705326605
3172,22,37,0,1,0,2,7,y,7.31433951166
3187,37,52,0,2,0,3,7,y,20.3463674826
3202,52,67,0,3,0,4,7,y,25.6630420972
3217,67,82,0,4,0,5,7,y,9.40300879886
3232,82,97,0,5,0,6,7,y,17.8393396612
3247,97,112,0,6,0,7,7,y,23.6868432515
3262,112,127,0,7,0,8,7,y,7.20834089695
3277,127,142,0,8,0,9,7,y,15.8083647125
3292,142,157,0,9,0,10,7,y,14.9032967394
3307,157,172,0,10,0,11,7,y,26.7252294545
3322,172,187,0,11,0,12,7,y,14.093608238
3337,187,202,0,12,0,13,7,y,12.6440691075
3352,202,217,0,13,0,14,7,y,17.0381442883
3367,232,247,1,0,1,1,7,y,38.0315701984
3382,247,262,1,1,1,2,7,y,13.3752101008
3397,262,277,1,2,1,3,7,y,13.5899188924
3412,277,292,1,3,1,4,7,y,16.6829986323
3427,292,307,1,4,1,5,7,y,18.4872072263
3442,307,322,1,5,1,6,7,y,11.8080866381
3457,322,337,1,6,1,7,7,y,14.2342678646
3472,337,352,1,7,1,8,7,y,16.0646640002
3487,352,367,1,8,1,9,7,y,10.3293915693
3502,367,382,1,9,1,10,7,y,11.4630921552
3517,382,397,1,10,1,11,7,y,14.278269127
3532,397,412,1,11,1,12,7,y,13.814358338
3547,412,427,1,12,1,13,7,y,15.4252629209
3562,427,442,1,13,1,14,7,y,8.4403801818
3577,457,472,2,0,2,1,7,y,10.6095598676
3592,472,487,2,1,2,2,7,y,9.59777182816
3607,487,502,2,2,2,3,7,y,12.953501568
3622,502,517,2,3,2,4,7,y,18.9793001301
3637,517,532,2,4,2,5,7,y,13.6453267235
3652,532,547,2,5,2,6,7,y,13.2966317209
3667,547,562,2,6,2,7,7,y,14.9567648287
3682,562,577,2,7,2,8,7,y,17.5132695255
3697,577,592,2,8,2,9,7,y,37.7047383705
3712,592,607,2,9,2,10,7,y,23.2293691404
3727,607,622,2,10,2,11,7,y,22.085761181
3742,622,637,2,11,2,12,7,y,18.4938027856
3757,637,652,2,12,2,13,7,y,18.2926317752
3772,652,667,2,13,2,14,7,y,13.1820702284
3787,682,697,3,0,3,1,7,y,15.178972421
3802,697,712,3,1,3,2,7,y,17.2712924234
3817,712,727,3,2,3,3,7,y,15.0995469459
3832,727,742,3,3,3,4,7,y,8.74398640879
3847,742,757,3,4,3,5,7,y,8.37309253146
3862,757,772,3,5,3,6,7,y,22.0796234444
3877,772,787,3,6,3,7,7,y,5.95123513846
3892,787,802,3,7,3,8,7,y,30.4054666548
3907,802,817,3,8,3,9,7,y,6.63225645271
3922,817,832,3,9,3,10,7,y,8.52554610536
3937,832,847,3,10,3,11,7,y,6.93210205735
3952,847,862,3,11,3,12,7,y,12.3355847756
3967,862,877,3,12,3,13,7,y,19.8468842028
3982,877,892,3,13,3,14,7,y,12.6125388213
3997,907,922,4,0,4,1,7,y,17.0518481225
4012,922,937,4,1,4,2,7,y,29.880126614
4027,937,952,4,2,4,3,7,y,12.4224511488
4042,952,967,4,3,4,4,7,y,19.8947655233
4057,967,982,4,4,4,5,7,y,14.5657251691
4072,982,997,4,5,4,6,7,y,9.87508852172
4087,997,1012,4,6,4,7,7,y,15.9749968793
4102,1012,1027,4,7,4,8,7,y,9.52880377718
4117,1027,1042,4,8,4,9,7,y,21.4195631605
4132,1042,1057,4,9,4,10,7,y,21.5783209982
4147,1057,1072,4,10,4,11,7,y,13.759727369
4162,1072,1087,4,11,4,12,7,y,24.0021517673
4177,1087,1102,4,12,4,13,7,y,10.4441728483
4192,1102,1117,4,13,4,14,7,y,13.58701158
4207,1132,1147,5,0,5,1,7,y,11.3926047849
4222,1147,1162,5,1,5,2,7,y,14.3544384201
4237,1162,1177,5,2,5,3,7,y,17.6780183487
4252,1177,1192,5,3,5,4,7,y,19.2249850421
4267,1192,1207,5,4,5,5,7,y,11.8869957514
4282,1207,1222,5,5,5,6,7,y,11.7325122804
4297,1222,1237,5,6,5,7,7,y,14.2411977923
4312,1237,1252,5,7,5,8,7,y,8.72271045886
4327,1252,1267,5,8,5,9,7,y,17.7596575891
4342,1267,1282,5,9,5,10,7,y,24.3318116015
4357,1282,1297,5,10,5,11,7,y,13.0804932158
4372,1297,1312,5,11,5,12,7,y,13.6497547733
4387,1312,1327,5,12,5,13,7,y,11.4905175096
4402,1327,1342,5,13,5,14,7,y,20.9028526169
4417,1357,1372,6,0,6,1,7,y,16.2293577306
4432,1372,1387,6,1,6,2,7,y,13.1169670852
4447,1387,1402,6,2,6,3,7,y,20.9187794944
4462,1402,1417,6,3,6,4,7,y,25.9012982662
4477,1417,1432,6,4,6,5,7,y,14.1705079062
4492,1432,1447,6,5,6,6,7,y,26.7874669907
4507,1447,1462,6,6,6,7,7,y,9.1681834539
4522,1462,1477,6,7,6,8,7,y,16.6676357295
4537,1477,1492,6,8,6,9,7,y,20.1361626682
4552,1492,1507,6,9,6,10,7,y,8.48305873362
4567,1507,1522,6,10,6,11,7,y,37.0437648951
4582,1522,1537,6,11,6,12,7,y,32.3346153381
4597,1537,1552,6,12,6,13,7,y,18.9684625859
4612,1552,1567,6,13,6,14,7,y,12.676875368
4627,1582,1597,7,0,7,1,7,y,6.51328220355
4642,1597,1612,7,1,7,2,7,y,22.1570222863
4657,1612,1627,7,2,7,3,7,y,27.890468166
4672,1627,1642,7,3,7,4,7,y,17.0543872071
4687,1642,1657,7,4,7,5,7,y,8.86832451754
4702,1657,1672,7,5,7,6,7,y,39.8695716117
4717,1672,1687,7,6,7,7,7,y,6.83727508746
4732,1687,1702,7,7,7,8,7,y,11.1344715191
4747,1702,1717,7,8,7,9,7,y,17.3068572241
4762,1717,1732,7,9,7,10,7,y,24.805142915
4777,1732,1747,7,10,7,11,7,y,8.52958811726
4792,1747,1762,7,11,7,12,7,y,15.8626903682
4807,1762,1777,7,12,7,13,7,y,11.8217612779
4822,1777,1792,7,13,7,14,7,y,10.2205133992
4837,1807,1822,8,0,8,1,7,y,22.4005958629
4852,1822,1837,8,1,8,2,7,y,4.21658950456
4867,1837,1852,8,2,8,3,7,y,15.3663294505
4882,1852,1867,8,3,8,4,7,y,5.05071879714
4897,1867,1882,8,4,8,5,7,y,25.1480921572
4912,1882,1897,8,5,8,6,7,y,31.4597651777
4927,1897,1912,8,6,8,7,7,y,14.0117119473
4942,1912,1927,8,7,8,8,7,y,19.4905439848
4957,1927,1942,8,8,8,9,7,y,29.9635101312
4972,1942,1957,8,9,8,10,7,y,6.49218579438
4987,1957,1972,8,10,8,11,7,y,12.0640261014
5002,1972,1987,8,11,8,12,7,y,20.3136802664
5017,1987,2002,8,12,8,13,7,y,21.5540133975
5032,2002,2017,8,13,8,14,7,y,9.55538266639
5047,2032,2047,9,0,9,1,7,y,20.3791734743
5062,2047,2062,9,1,9,2,7,y,9.6320626725
5077,2062,2077,9,2,9,3,7,y,14.9880393078
5092,2077,2092,9,3,9,4,7,y,13.2055417861
5107,2092,2107,9,4,9,5,7,y,20.2314122278
5122,2107,2122,9,5,9,6,7,y,12.5476293952
5137,2122,2137,9,6,9,7,7,y,14.2836834451
5152,2137,2152,9,7,9,8,7,y,17.6282886185
5167,2152,2167,9,8,9,9,7,y,21.7408358461
5182,2167,2182,9,9,9,10,7,y,16.8661223912
5197,2182,2197,9,10,9,11,7,y,24.3878538402
5212,2197,2212,9,11,9,12,7,y,17.7913827883
5227,2212,2227,9,12,9,13,7,y,6.269075748
5242,2227,2242,9,13,9,14,7,y,15.9777225834
5257,2257,2272,10,0,10,1,7,y,25.8975910944
5272,2272,2287,10,1,10,2,7,y,13.1178828516
5287,2287,2302,10,2,10,3,7,y,39.4386468043
5302,2302,2317,10,3,10,4,7,y,20.6408991793
5317,2317,2332,10,4,10,5,7,y,17.3282627956
5332,2332,2347,10,5,10,6,7,y,17.4899762846
5347,2347,2362,10,6,10,7,7,y,27.2833180081
5362,2362,2377,10,7,10,8,7,y,18.5994563185
5377,2377,2392,10,8,10,9,7,y,8.57511242333
5392,2392,2407,10,9,10,10,7,y,19.5154585312
5407,2407,2422,10,10,10,11,7,y,15.2589773203
5422,2422,2437,10,11,10,12,7,y,19.4403152997
5437,2437,2452,10,12,10,13,7,y,10.8975958307
5452,2452,2467,10,13,10,14,7,y,16.2077131619
5467,2482,2497,11,0,11,1,7,y,5.63315855492
5482,2497,2512,11,1,11,2,7,y,26.9642201707
5497,2512,2527,11,2,11,3,7,y,12.3939632417
5512,2527,2542,11,3,11,4,7,y,27.6521455682
5527,2542,2557,11,4,11,5,7,y,23.2658574642
5542,2557,2572,11,5,11,6,7,y,13.0916054677
5557,2572,2587,11,6,11,7,7,y,13.3365497361
5572,2587,2602,11,7,11,8,7,y,11.5780750643
5587,2602,2617,11,8,11,9,7,y,17.4006758485
5602,2617,2632,11,9,11,10,7,y,11.6809651213
5617,2632,2647,11,10,11,11,7,y,9.29549703041
5632,2647,2662,11,11,11,12,7,y,18.3953100106
5647,2662,2677,11,12,11,13,7,y,17.624931452
5662,2677,2692,11,13,11,14,7,y,11.9821251406
5677,2707,2722,12,0,12,1,7,y,17.2956934825
5692,2722,2737,12,1,12,2,7,y,13.0144832552
5707,2737,2752,12,2,12,3,7,y,12.9431962789
5722,2752,2767,12,3,12,4,7,y,7.88871018889
5737,2767,2782,12,4,12,5,7,y,8.75868132699
5752,2782,2797,12,5,12,6,7,y,20.7718665017
5767,2797,2812,12,6,12,7,7,y,24.0305476872
5782,2812,2827,12,7,12,8,7,y,24.7936757967
5797,2827,2842,12,8,12,9,7,y,10.4942373805
5812,2842,2857,12,9,12,10,7,y,21.7095027015
5827,2857,2872,12,10,12,11,7,y,12.6099333528
5842,2872,2887,12,11,12,12,7,y,12.2893909689
5857,2887,2902,12,12,12,13,7,y,10.2540016794
5872,2902,2917,12,13,12,14,7,y,5.06430352522
5887,2932,2947,13,0,13,1,7,y,21.8004121852
5902,2947,2962,13,1,13,2,7,y,11.9562575738
5917,2962,2977,13,2,13,3,7,y,10.0288472538
5932,2977,2992,13,3,13,4,7,y,18.8501217353
5947,2992,3007,13,4,13,5,7,y,15.7981655877
5962,3007,3022,13,5,13,6,7,y,11.1727789239
5977,3022,3037,13,6,13,7,7,y,13.4411455836
5992,3037,3052,13,7,13,8,7,y,36.1136570349
6007,3052,3067,13,8,13,9,7,y,14.6111722417
6022,3067,3082,13,9,13,10,7,y,13.6860242255
6037,3082,3097,13,10,13,11,7,y,10.6214640545
6052,3097,3112,13,11,13,12,7,y,17.7485649359
6067,3112,3127,13,12,13,13,7,y,20.5931939342
6082,3127,3142,13,13,13,14,7,y,18.1176712066
6097,3157,3172,14,0,14,1,7,y,27.7470121259
6112,3172,3187,14,1,14,2,7,y,16.3502382154
6127,3187,3202,14,2,14,3,7,y,16.2086767465
6142,3202,3217,14,3,14,4,7,y,24.4939621876
6157,3217,3232,14,4,14,5,7,y,16.1353416308
6172,3232,3247,14,5,14,6,7,y,11.7006739096
6187,3247,3262,14,6,14,7,7,y,19.4582049626
6202,3262,3277,14,7,14,8,7,y,26.2501041525
6217,3277,3292,14,8,14,9,7,y,25.871822577
6232,3292,3307,14,9,14,10,7,y,5.43421028924
6247,3307,3322,14,10,14,11,7,y,11.6885797556
6262,3322,3337,14,11,14,12,7,y,17.0579814795
6277,3337,3352,14,12,14,13,7,y,9.39511302138
6292,3352,3367,14,13,14,14,7,y,28.5148484604
