source_key,path_workspace_relative,size_bytes,sha256,used_for,immutable_registered_input
dvdq_curves_all_windows,battery_experiment/02_processed_data/R581_G4_DVDQ_REBUILD/dvdq_curves_all_windows.csv,842977,AAADD2779474FE74C1F0F4BC472633B113967905CA2BCE2EF97FAF8F0CA7D2DE,all eligible late-charge derivative curves,True
dvdq_metrics_by_cycle_and_window,battery_experiment/02_processed_data/R581_G4_DVDQ_REBUILD/dvdq_metrics_by_cycle_and_window.csv,4653,7BB07D8E335B3E164C1E2BA1E42BF14FD6917E6A63CAFCBEC5F13BD0E7D5ECE3,prespecified onset and maximum coordinates,True
eligible_cycles,battery_experiment/02_processed_data/R581_G4_DVDQ_REBUILD/eligible_cycles.csv,912,1DFB2A1A857A27C017B360020865373DF9E018CA95B39CF596F231CBB6420D50,one-cell cycle inclusion identity,True
