label,phi_ppt,n_n_m2,Q_mAh_cm2,vs_area_m3m2,eps_s,cap_radius_um,n_islands,n_clusters,theta_geo,accessibility,theta_eff_transport
washable,0.001,10000000000000.0,12.0,1.4411566564750997e-09,6.781913677529882e-05,0.04097797762128331,70686,191,0.05078125,0.9531014721880141,0.04689852781198589
washable,0.001,10000000000000.0,36.0,4.323469969425299e-09,0.0002034574103258964,0.05910047061636245,70686,330,0.104736328125,0.9165622056979525,0.08343779430204745
washable,0.001,10000000000000.0,60.0,7.205783282375498e-09,0.00033909568387649404,0.07007135607585042,70686,429,0.149169921875,0.8869202772377683,0.11307972276223166
washable,0.001,10000000000000.0,84.0,1.0088096595325697e-08,0.0004747339574270916,0.07838805119870197,70686,465,0.17822265625,0.8641407049121068,0.13585929508789318
washable,0.001,10000000000000.0,120.0,1.4411566564750996e-08,0.0006781913677529881,0.08828437651464298,70686,524,0.228515625,0.8219325396234796,0.17806746037652044
baseline_comsol,0.005,10000000000000.0,12.0,7.205783282375498e-09,0.00033909568387649404,0.07007135607585042,70686,413,0.1396484375,0.8863805128257592,0.11361948717424075
baseline_comsol,0.005,10000000000000.0,36.0,2.1617349847126494e-08,0.0010172870516294821,0.10106038319125268,70686,519,0.277587890625,0.7848668563201613,0.2151331436798387
baseline_comsol,0.005,10000000000000.0,60.0,3.602891641187749e-08,0.0016954784193824702,0.11982033344072227,70686,449,0.3662109375,0.7122593052830922,0.2877406947169078
baseline_comsol,0.005,10000000000000.0,84.0,5.044048297662848e-08,0.002373669787135458,0.1340416820566418,70686,360,0.43701171875,0.6463212293626307,0.3536787706373693
baseline_comsol,0.005,10000000000000.0,120.0,7.205783282375498e-08,0.0033909568387649404,0.15096416030738857,70686,226,0.515869140625,0.5804315014874128,0.41956849851258715
baseline_lowNn,0.005,100000000000.0,12.0,7.205783282375498e-09,0.00033909568387649404,0.32522095435378373,707,131,0.034912109375,0.9717363025251434,0.028263697474856575
baseline_lowNn,0.005,100000000000.0,36.0,2.1617349847126494e-08,0.0010172870516294821,0.4690497816717098,707,208,0.067626953125,0.9443296071979062,0.05567039280209385
baseline_lowNn,0.005,100000000000.0,60.0,3.602891641187749e-08,0.0016954784193824702,0.5561200093002101,707,231,0.092529296875,0.930470322107997,0.06952967789200304
baseline_lowNn,0.005,100000000000.0,84.0,5.044048297662848e-08,0.002373669787135458,0.6221253048743486,707,241,0.11474609375,0.9123743280977169,0.0876256719022831
baseline_lowNn,0.005,100000000000.0,120.0,7.205783282375498e-08,0.0033909568387649404,0.7006673059850673,707,251,0.14306640625,0.8898338778891932,0.11016612211080679
retained_highNn,0.02,100000000000000.0,12.0,2.8823133129501993e-08,0.0013563827355059762,0.051629065280565406,706858,167,0.5712890625,0.543789686828853,0.456210313171147
retained_highNn,0.02,100000000000000.0,36.0,8.646939938850598e-08,0.0040691482065179285,0.07446199721626859,706858,3,0.8310546875,0.2929235569889535,0.7070764430110466
retained_highNn,0.02,100000000000000.0,60.0,1.4411566564750996e-07,0.006781913677529881,0.08828445977916781,706858,1,0.912841796875,0.17769622883714017,0.8223037711628598
retained_highNn,0.02,100000000000000.0,84.0,2.0176193190651392e-07,0.009494679148541832,0.09876284891258487,706858,1,0.948974609375,0.11659277849683587,0.8834072215031641
retained_highNn,0.02,100000000000000.0,120.0,2.882313312950199e-07,0.013563827355059762,0.11123144925437081,706858,1,0.976318359375,0.056393678841738466,0.9436063211582615
