eps_s,theta_geo,accessibility,theta_eff_transport,label,one_minus_theta_geo,comsol_theta_ref
6.781913677529882e-05,0.05078125,0.9531014721880141,0.04689852781198589,washable,0.94921875,0.09243798106759571
0.0002034574103258964,0.104736328125,0.9165622056979525,0.08343779430204745,washable,0.895263671875,0.2524694644148794
0.00033909568387649404,0.149169921875,0.8869202772377683,0.11307972276223166,washable,0.850830078125,0.38428240717971573
0.00033909568387649404,0.1396484375,0.8863805128257592,0.11361948717424075,baseline_comsol,0.8603515625,0.38428240717971573
0.00033909568387649404,0.034912109375,0.9717363025251434,0.028263697474856575,baseline_lowNn,0.965087890625,0.38428240717971573
0.0004747339574270916,0.17822265625,0.8641407049121068,0.13585929508789318,washable,0.82177734375,0.4928526179714344
0.0006781913677529881,0.228515625,0.8219325396234796,0.17806746037652044,washable,0.771484375,0.6208918458915946
0.0010172870516294821,0.277587890625,0.7848668563201613,0.2151331436798387,baseline_comsol,0.722412109375,0.7665764399338312
0.0010172870516294821,0.067626953125,0.9443296071979062,0.05567039280209385,baseline_lowNn,0.932373046875,0.7665764399338312
0.0013563827355059762,0.5712890625,0.543789686828853,0.456210313171147,retained_highNn,0.4287109375,0.8562770074885175
0.0016954784193824702,0.3662109375,0.7122593052830922,0.2877406947169078,baseline_comsol,0.6337890625,0.9115072250179023
0.0016954784193824702,0.092529296875,0.930470322107997,0.06952967789200304,baseline_lowNn,0.907470703125,0.9115072250179023
0.002373669787135458,0.43701171875,0.6463212293626307,0.3536787706373693,baseline_comsol,0.56298828125,0.9664516674246064
0.002373669787135458,0.11474609375,0.9123743280977169,0.0876256719022831,baseline_lowNn,0.88525390625,0.9664516674246064
0.0033909568387649404,0.515869140625,0.5804315014874128,0.41956849851258715,baseline_comsol,0.484130859375,0.9921690287759678
0.0033909568387649404,0.14306640625,0.8898338778891932,0.11016612211080679,baseline_lowNn,0.85693359375,0.9921690287759678
0.0040691482065179285,0.8310546875,0.2929235569889535,0.7070764430110466,retained_highNn,0.1689453125,0.9970312149543811
0.006781913677529881,0.912841796875,0.17769622883714017,0.8223037711628598,retained_highNn,0.087158203125,0.9999386758896884
0.009494679148541832,0.948974609375,0.11659277849683587,0.8834072215031641,retained_highNn,0.051025390625,0.9999987332708674
0.013563827355059762,0.976318359375,0.056393678841738466,0.9436063211582615,retained_highNn,0.023681640625,0.9999999962393535
