q_mAh_cm2,time_s,V_control_V,V_physical_dense_V,deltaV_physical_minus_control_V,eps_s_control,eps_s_physical_dense,theta_control,theta_physical_dense,theta_dense_shadow_on_control,S_control,S_physical_dense,K_control,K_physical_dense
0,0,1.40134322112,1.40134426855,1.04742999985e-06,0,8.46077598404e-21,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.185497468972,0.185497468787,1,1
0.111111111111,10,1.40123773629,1.40123643516,-1.30112999996e-06,6.56899935385e-19,2.22095369581e-20,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.18667755146,0.186677459873,1,1
0.222222222222,20,1.40127786665,1.40126556637,-1.23002800001e-05,1.49372356006e-18,6.00662215017e-18,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.187424154918,0.187424021148,1,1
0.333333333333,30,1.40129499501,1.40127140462,-2.35903899999e-05,1.49372356006e-18,6.6360245636e-18,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.188104030449,0.188103798107,1,1
0.444444444444,40,1.4013047295,1.4012730292,-3.17003000001e-05,1.48843557507e-18,6.64977332458e-18,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.188784295584,0.188784004357,1,1
0.555555555556,50,1.40131446399,1.40127465377,-3.98102199999e-05,1.48843557507e-18,6.65506130957e-18,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.1894653215,0.189464969801,1,1
0.666666666667,60,1.4013201842,1.40127824117,-4.194303e-05,1.49174056569e-18,6.67409805553e-18,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.190146637083,0.190146277253,1,1
0.777777777778,70,1.40132518768,1.40128217902,-4.30086599998e-05,1.49702855068e-18,6.67740304615e-18,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.190828623781,0.19082826522,1,1
0.888888888889,80,1.40133019116,1.40128611687,-4.40742900001e-05,1.49702855068e-18,6.69115180712e-18,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.191511366554,0.191511009142,1,1
1,90,1.40133519464,1.40129005472,-4.51399199999e-05,1.49702855068e-18,6.73583528029e-18,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.192194866662,0.19219451028,1,1
1.11111111111,100,1.40134187593,1.40129830258,-4.35733499999e-05,1.52743446437e-18,6.93810070616e-18,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.192878687761,0.192878352419,1,1
1.22222222222,110,1.40135005355,1.40131039423,-3.96593200001e-05,1.55387438932e-18,7.38070504982e-18,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.193562876485,0.193562579649,1,1
1.33333333333,120,1.40135823118,1.40132248589,-3.57452899999e-05,1.60067305648e-18,7.88451781975e-18,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.19424782376,0.194247564827,1,1
1.44444444444,130,1.4013664088,1.40133457754,-3.18312600001e-05,1.6403329439e-18,8.35157909399e-18,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.194933530849,0.194933309215,1,1
1.55555555556,140,1.40137458642,1.4013466692,-2.791722e-05,1.67853863546e-18,8.77527889132e-18,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.195619999022,0.195619814077,1,1
1.66666666667,150,1.40138276405,1.40135876086,-2.40031900001e-05,1.70828355103e-18,9.24802474942e-18,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.196307229547,0.196307080679,1,1
1.77777777778,160,1.40139094167,1.40137085251,-2.008916e-05,1.74992643282e-18,9.67648373324e-18,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.196995223699,0.196995110292,1,1
1.88888888889,170,1.40139911929,1.40138294417,-1.61751199999e-05,1.79672509998e-18,1.01779169099e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.197683982752,0.197683904187,1,1
2,180,1.40140729691,1.40139503582,-1.226109e-05,1.83691378591e-18,1.06061114945e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.198373507987,0.198373463641,1,1
2.11111111111,190,1.40142599426,1.40141552151,-1.04727500001e-05,1.84021877653e-18,1.06667911222e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.199062658141,0.199062634662,1,1
2.22222222222,200,1.40144600827,1.4014370578,-8.95047000005e-06,1.85409973713e-18,1.06936276461e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.199752430261,0.199752426271,1,1
2.33333333333,210,1.40146602228,1.4014585941,-7.42817999999e-06,1.86798069773e-18,1.07108135973e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.200442968401,0.200442984165,1,1
2.44444444444,220,1.40148603628,1.40148013039,-5.90588999994e-06,1.86798069773e-18,1.07457142982e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.201134273838,0.201134309624,1,1
2.55555555556,230,1.40150605029,1.40150166668,-4.3836100001e-06,1.87128568834e-18,1.07541750742e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.201826347853,0.201826403929,1,1
2.66666666667,240,1.4015260643,1.40152320298,-2.86132000005e-06,1.88186165832e-18,1.07784998052e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.202519191727,0.202519268363,1,1
2.77777777778,250,1.4015460783,1.40154473927,-1.33902999999e-06,1.88714964331e-18,1.07923807658e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.203212806747,0.203212904214,1,1
2.88888888889,260,1.40156609231,1.40156627557,1.83260000064e-07,1.89574261892e-18,1.08329660506e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.203907194202,0.203907312772,1,1
3,270,1.40158610632,1.40158781186,1.70554000012e-06,1.9201995495e-18,1.08533247928e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.204602355383,0.20460249533,1,1
3.11111111111,280,1.40160612032,1.40160934815,3.22782999995e-06,1.94254128608e-18,1.0870510744e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.205298291584,0.205298453183,1,1
3.22222222222,290,1.40162613433,1.40163088445,4.75012000001e-06,1.96501522229e-18,1.09066012415e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.205995004103,0.20599518763,1,1
3.33333333333,300,1.40164614834,1.40165242074,6.27240000006e-06,1.98220117351e-18,1.09204822021e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.206692494239,0.206692699974,1,1
3.44444444444,310,1.40166616235,1.40167395703,7.79468000012e-06,2.01115289133e-18,1.09512847147e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.207390763296,0.207390991517,1,1
3.55555555556,320,1.40168617635,1.40169549333,9.31698000017e-06,2.0270168463e-18,1.09756094457e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.20808981258,0.208090063568,1,1
3.66666666667,330,1.40170619036,1.40171702962,1.083926e-05,2.04208760352e-18,1.09947783913e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.2087896434,0.208789917437,1,1
3.77777777778,340,1.40172620437,1.40173856591,1.23615399998e-05,2.05795155849e-18,1.10116999432e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.209490257067,0.209490554437,1,1
3.88888888889,350,1.40174621837,1.40176010221,1.38838399999e-05,2.0665445341e-18,1.10477904408e-17,5.99998200001e-06,8.89577816601e-05,8.89577816601e-05,0.210191654897,0.210191975884,1,1
