variant,species,label,family,carrier,D_mean,D_sem,D_min,D_max,n_soc
q0p8_ecc,H2O,H$_2$O,blue,False,1.9892292629749821,0.01136955412379369,1.9416437114046523,2.047272550091032,5
q0p8_ecc,I-,I$^-$,cyan,False,1.2223523845499487,0.030435748196535568,1.0454780110920243,1.3984272776432107,5
q0p8_ecc,Br-,Br$^-$,cyan,False,1.2096708650181967,0.017444142156485355,1.07299053869049,1.3868115023806424,5
q0p8_ecc,NH4+,NH$_4^+$,neutral,False,1.52003790609999,0.021190682533598838,1.4220730210304957,1.7018830920561956,5
q0p8_ecc,Zn2+,Zn$^{2+}$,neutral,False,0.5616026297462293,0.021052469346371373,0.5151069233881157,0.6206199507136558,5
q0p8_ecc,I2,I$_2$,gold,True,1.0650359883970268,0.11871301761682862,0.15234536492355,1.8498561363925647,5
q0p8_ecc,I3-,I$_3^-$,vermillion,True,0.7521535451934256,0.06711606937970477,0.6071065187690212,0.8829823958168519,5
q0p8_ecc,I2Br-,I$_2$Br$^-$,purple,True,0.7242936573925908,0.08773967981892106,0.6160090840561705,0.8268728392788431,5
q1p0,H2O,H$_2$O,blue,False,1.3289982197638484,0.006461059157804536,1.2914060569264805,1.359333250367344,5
q1p0,I-,I$^-$,cyan,False,0.7084014624176654,0.020533682063359805,0.6468729808204758,0.7440003904383398,5
q1p0,Br-,Br$^-$,cyan,False,0.632873556187145,0.01609068159741278,0.5649935073289427,0.6713417224689062,5
q1p0,NH4+,NH$_4^+$,neutral,False,0.7936861731927619,0.01251833021497834,0.7309854011631317,0.8622077387450693,5
q1p0,Zn2+,Zn$^{2+}$,neutral,False,0.2904801661701309,0.007883805676055632,0.2581695569287506,0.3065388469288051,5
q1p0,I2,I$_2$,gold,True,0.584603035357675,0.06900466184592295,0.2221341225545011,1.0690466534140757,5
q1p0,I3-,I$_3^-$,vermillion,True,0.5333310625846798,0.031709985323279746,0.3834012531549626,0.9037456937925498,5
q1p0,I2Br-,I$_2$Br$^-$,purple,True,0.517692077148757,0.04229227879626372,0.0036002088989561,0.8889986410958133,5
