sign,ix,iy,iz,delta_rho_e_A-3,x_display_A,y_display_A,z_display_A,periodic_xy_translation_only
accumulation,4,58,57,0.00263940449804,15.7408777387,15.4425,15.2,True
accumulation,4,58,58,0.00325734098442,15.7408777387,15.4425,15.4666666667,True
accumulation,4,58,59,0.00304999016225,15.7408777387,15.4425,15.7333333333,True
accumulation,4,58,60,0.0020629526116,15.7408777387,15.4425,16,True
accumulation,4,59,57,0.00307342829183,15.7408777387,15.70875,15.2,True
accumulation,4,59,58,0.0034603215754,15.7408777387,15.70875,15.4666666667,True
accumulation,4,59,59,0.00340879592113,15.7408777387,15.70875,15.7333333333,True
accumulation,4,59,60,0.00263995002024,15.7408777387,15.70875,16,True
accumulation,7,63,57,0.00246681179851,16.4787313827,16.77375,15.2,True
accumulation,7,63,58,0.0029355129227,16.4787313827,16.77375,15.4666666667,True
accumulation,7,63,59,0.00278935814276,16.4787313827,16.77375,15.7333333333,True
accumulation,7,64,56,0.00201496202499,16.4787313827,17.04,14.9333333333,True
accumulation,7,64,57,0.00283367373049,16.4787313827,17.04,15.2,True
accumulation,7,64,58,0.00337557634339,16.4787313827,17.04,15.4666666667,True
accumulation,7,64,59,0.00314526003785,16.4787313827,17.04,15.7333333333,True
accumulation,7,64,60,0.00222396571189,16.4787313827,17.04,16,True
accumulation,7,65,57,0.00226616649888,16.4787313827,17.30625,15.2,True
accumulation,7,65,58,0.00257484870963,16.4787313827,17.30625,15.4666666667,True
accumulation,7,65,59,0.00240784720518,16.4787313827,17.30625,15.7333333333,True
accumulation,8,62,56,0.00215036398731,16.7246825973,16.5075,14.9333333333,True
accumulation,8,62,57,0.00326433870941,16.7246825973,16.5075,15.2,True
accumulation,8,62,58,0.00388775439933,16.7246825973,16.5075,15.4666666667,True
accumulation,8,62,59,0.00372599507682,16.7246825973,16.5075,15.7333333333,True
accumulation,8,62,60,0.00267096282914,16.7246825973,16.5075,16,True
accumulation,8,63,56,0.00287976907566,16.7246825973,16.77375,14.9333333333,True
accumulation,8,63,57,0.00428663287312,16.7246825973,16.77375,15.2,True
accumulation,8,63,58,0.00518559943885,16.7246825973,16.77375,15.4666666667,True
