Q_mAh_cm2,R_theta_baseline,R_theta_one_way_island_shadow,R_theta_coupled_island,V_baseline_V,V_coupled_island_V,deltaV_island_minus_baseline_mV,eps_s_baseline,eps_s_coupled_island
0,1,1,1,1.40134322112,1.40134426855,0.00104742999985,0,8.46077598404e-21
0.111111111111,1,1,1,1.40123773629,1.40123643516,-0.00130112999996,6.56899935385e-19,2.22095369581e-20
0.222222222222,1,1,1,1.40127786665,1.40126556637,-0.0123002800001,1.49372356006e-18,6.00662215017e-18
0.333333333333,1,1,1,1.40129499501,1.40127140462,-0.0235903899999,1.49372356006e-18,6.6360245636e-18
0.444444444444,1,1,1,1.4013047295,1.4012730292,-0.0317003000001,1.48843557507e-18,6.64977332458e-18
0.555555555556,1,1,1,1.40131446399,1.40127465377,-0.0398102199999,1.48843557507e-18,6.65506130957e-18
0.666666666667,1,1,1,1.4013201842,1.40127824117,-0.04194303,1.49174056569e-18,6.67409805553e-18
0.777777777778,1,1,1,1.40132518768,1.40128217902,-0.0430086599998,1.49702855068e-18,6.67740304615e-18
0.888888888889,1,1,1,1.40133019116,1.40128611687,-0.0440742900001,1.49702855068e-18,6.69115180712e-18
1,1,1,1,1.40133519464,1.40129005472,-0.0451399199999,1.49702855068e-18,6.73583528029e-18
1.11111111111,1,1,1,1.40134187593,1.40129830258,-0.0435733499999,1.52743446437e-18,6.93810070616e-18
1.22222222222,1,1,1,1.40135005355,1.40131039423,-0.0396593200001,1.55387438932e-18,7.38070504982e-18
1.33333333333,1,1,1,1.40135823118,1.40132248589,-0.0357452899999,1.60067305648e-18,7.88451781975e-18
1.44444444444,1,1,1,1.4013664088,1.40133457754,-0.0318312600001,1.6403329439e-18,8.35157909399e-18
1.55555555556,1,1,1,1.40137458642,1.4013466692,-0.02791722,1.67853863546e-18,8.77527889132e-18
1.66666666667,1,1,1,1.40138276405,1.40135876086,-0.0240031900001,1.70828355103e-18,9.24802474942e-18
1.77777777778,1,1,1,1.40139094167,1.40137085251,-0.02008916,1.74992643282e-18,9.67648373324e-18
1.88888888889,1,1,1,1.40139911929,1.40138294417,-0.0161751199999,1.79672509998e-18,1.01779169099e-17
2,1,1,1,1.40140729691,1.40139503582,-0.01226109,1.83691378591e-18,1.06061114945e-17
2.11111111111,1,1,1,1.40142599426,1.40141552151,-0.0104727500001,1.84021877653e-18,1.06667911222e-17
2.22222222222,1,1,1,1.40144600827,1.4014370578,-0.00895047000005,1.85409973713e-18,1.06936276461e-17
2.33333333333,1,1,1,1.40146602228,1.4014585941,-0.00742817999999,1.86798069773e-18,1.07108135973e-17
2.44444444444,1,1,1,1.40148603628,1.40148013039,-0.00590588999994,1.86798069773e-18,1.07457142982e-17
2.55555555556,1,1,1,1.40150605029,1.40150166668,-0.0043836100001,1.87128568834e-18,1.07541750742e-17
2.66666666667,1,1,1,1.4015260643,1.40152320298,-0.00286132000005,1.88186165832e-18,1.07784998052e-17
2.77777777778,1,1,1,1.4015460783,1.40154473927,-0.00133902999999,1.88714964331e-18,1.07923807658e-17
2.88888888889,1,1,1,1.40156609231,1.40156627557,0.000183260000064,1.89574261892e-18,1.08329660506e-17
3,1,1,1,1.40158610632,1.40158781186,0.00170554000012,1.9201995495e-18,1.08533247928e-17
3.11111111111,1,1,1,1.40160612032,1.40160934815,0.00322782999995,1.94254128608e-18,1.0870510744e-17
3.22222222222,1,1,1,1.40162613433,1.40163088445,0.00475012000001,1.96501522229e-18,1.09066012415e-17
3.33333333333,1,1,1,1.40164614834,1.40165242074,0.00627240000006,1.98220117351e-18,1.09204822021e-17
3.44444444444,1,1,1,1.40166616235,1.40167395703,0.00779468000012,2.01115289133e-18,1.09512847147e-17
3.55555555556,1,1,1,1.40168617635,1.40169549333,0.00931698000017,2.0270168463e-18,1.09756094457e-17
3.66666666667,1,1,1,1.40170619036,1.40171702962,0.01083926,2.04208760352e-18,1.09947783913e-17
3.77777777778,1,1,1,1.40172620437,1.40173856591,0.0123615399998,2.05795155849e-18,1.10116999432e-17
3.88888888889,1,1,1,1.40174621837,1.40176010221,0.0138838399999,2.0665445341e-18,1.10477904408e-17
4,1,1,1,1.40178161623,1.40179582655,0.0142103199998,2.0665445341e-18,1.10563834164e-17
4.11111111111,1,1,1,1.40182688662,1.40184065603,0.01376941,2.0665445341e-18,1.10563834164e-17
4.22222222222,1,1,1,1.401872157,1.40188548551,0.0133285100001,2.0665445341e-18,1.10563834164e-17
4.33333333333,1,1,1,1.40191742739,1.401930315,0.0128876100001,2.0665445341e-18,1.10648441924e-17
4.44444444444,1,1,1,1.40196269778,1.40197514448,0.0124467,2.0665445341e-18,1.10648441924e-17
4.55555555556,1,1,1,1.40200796816,1.40201997396,0.0120058000002,2.0665445341e-18,1.10733049684e-17
4.66666666667,1,1,1,1.40205323855,1.40206480344,0.0115648900001,2.07500531008e-18,1.10733049684e-17
